,dt,type_x,price_x,size_x,order_value_x,portfolio_value_x,pnl_x,type_y,price_y,size_y,order_value_y,portfolio_value_y,pnl_y,type_x,price_x,size_x,order_value_x,portfolio_value_x,pnl_x,type_y,price_y,size_y,order_value_y,portfolio_value_y,pnl_y,type,price,size,order_value,portfolio_value,pnl
0,2017-08-30,buy,195.0,512.0,99840.0,100512.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,2018-06-14,sell,215.0,-512.0,99840.0,110240.0,10240.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2018-06-28,buy,220.2,500.0,110100.0,108640.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,2018-07-11,sell,219.0,-500.0,110100.0,109640.0,-599.9999999999943,,,,,,,,,,,,,,,,,,,,,,,,
4,2018-07-12,buy,220.0,497.0,109340.0,108149.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,2018-09-18,sell,197.0,-497.0,109340.0,98209.0,-11431.0,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-01-04,buy,209.75,467.0,97953.25,79645.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-07-17,sell,193.33333333333331,-467.0,97953.25,90542.41666666669,-7666.583333333328,,,,,,,buy,193.33333333333331,1625.0,314166.6666666667,321632.9576673326,0.0,,,,,,,buy,193.33333333333331,471.0,91060.0,93264.45998980184,0.0
8,2019-10-11,buy,207.20454545454547,436.0,90341.18181818182,88164.23484848485,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-12-04,sell,193.69444444444449,-436.0,90341.18181818182,84652.01262626263,-5890.404040404041,,,,,,,,,,,,,,,,,,,sell,193.69444444444443,-806.0,147569.9642857143,156418.49379932566,8547.75793650794
10,2020-01-28,buy,204.8125,412.0,84382.75,86789.26262626263,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11,2020-02-20,sell,198.66666666666663,-412.0,84382.75,82119.92929292929,-2532.083333333337,,,,,,,,,,,,,,,,,,,,,,,,
12,2020-06-17,buy,154.6,530.0,81938.0,81669.42929292929,0.0,,,,,,,,,,,,,,,,,,,,,,,,
13,2020-07-21,sell,142.0,-530.0,81938.0,75441.92929292929,-6677.999999999997,,,,,,,buy,142.0,3.0,426.0,450298.4200535384,0.0,,,,,,,,,,,,
14,2020-09-23,buy,148.0,509.0,75332.0,76099.38762626261,0.0,,,,,,,,,,,,,,,,,,,,,,,,
15,2020-12-29,sell,196.92351274787532,-509.0,75332.0,100343.99728159784,24902.067988668558,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-03-16,buy,191.0,524.0,100084.0,102151.79728159784,0.0,,,,,,,,,,,,,,,,,,,,,,,,
17,2021-07-27,sell,345.5223880597015,-524.0,100084.0,181313.72862488145,80969.73134328358,,,,,,,sell,345.5223880597015,-44414.0,7446747.333333333,15353515.440443508,7899284.009950248,,,,,,,,,,,,
18,2021-07-28,buy,322.42857142857144,561.0,180882.42857142855,190610.30005345284,0.0,,,,,,,,,,,,,,,,,,,,,,,,
19,2021-08-05,sell,297.84090909090907,-561.0,180882.42857142855,167520.05005345284,-13793.678571428594,,,,,,,,,,,,,,,,,,,sell,297.84090909090907,-23474.0,4107950.0,6995740.189455455,2883567.4999999995
20,2021-08-12,buy,158.0,1059.0,167322.0,298347.2808226836,0.0,,,,,,,buy,158.0,129454.0,20453732.0,36466855.46001299,0.0,,,,,,,buy,158.0,44232.0,6988656.0,12460093.420224687,0.0
21,2021-08-13,sell,281.53846153846155,-1059.0,167322.0,298347.2808226836,130827.23076923078,,,,,,,,,,,,,,,,,,,sell,281.53846153846155,-44232.0,6988656.0,12460093.420224687,5464353.230769231
22,2021-08-18,buy,220.40476190476195,1352.0,297987.2380952381,424938.1168015195,0.0,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-08-24,sell,338.6764705882353,-1352.0,297987.2380952381,458250.6309627397,159903.35014005605,,,,,,,sell,338.6764705882353,-129553.0,20474166.095,43876694.15913063,23402386.69911765,,,,,,,,,,,,
24,2021-08-26,buy,283.3333333333333,1615.0,457583.3333333333,567532.2976294063,0.0,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-09-21,sell,185.0,-1615.0,457583.3333333333,299442.2976294063,-158808.3333333333,,,,,,,buy,185.0,595804.0,110223740.0,188920559.20416236,0.0,,,,,,,,,,,,
26,2021-09-22,buy,316.9,943.0,298836.69999999995,317886.86789967667,0.0,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-09-23,sell,336.4594594594595,-943.0,298836.69999999995,317886.86789967667,18444.570270270317,,,,,,,sell,336.4594594594595,-595804.0,110223740.0,200574163.38794613,90240151.7837838,,,,,,,,,,,,
28,2022-03-10,buy,207.16949152542367,1532.0,317383.6610169492,349799.2068827275,0.0,,,,,,,,,,,,,,,,,,,,,,,,
