,produto,submercado,expiracao,data,volume,VWAP,M,H,h,h_cresc
3734,SE CON MEN JAN/15,SE,2015-02-01,2015-01-06,1.0,378.0,0,12,10,1
3735,SE CON MEN JAN/15,SE,2015-02-01,2015-01-09,3.0,380.0,0,12,9,2
3736,SE CON MEN JAN/15,SE,2015-02-01,2015-01-12,3.5,380.85714285714283,0,12,8,3
3737,SE CON MEN JAN/15,SE,2015-02-01,2015-01-15,1.0,386.0,0,12,7,4
3738,SE CON MEN JAN/15,SE,2015-02-01,2015-01-20,4.0,393.0,0,12,6,5
3739,SE CON MEN JAN/15,SE,2015-02-01,2015-01-21,1.0,393.5,0,12,5,6
3740,SE CON MEN JAN/15,SE,2015-02-01,2015-01-22,4.0,393.9975,0,12,4,7
3741,SE CON MEN JAN/15,SE,2015-02-01,2015-01-26,1.0,395.0,0,12,3,8
3742,SE CON MEN JAN/15,SE,2015-02-01,2015-01-27,10.5,395.2476190476191,0,12,2,9
3743,SE CON MEN JAN/15,SE,2015-02-01,2015-01-28,2.0,395.0,0,12,1,10
3744,SE CON MEN JAN/15,SE,2015-02-01,2015-01-29,1.0,394.0,0,12,0,11
416,SE CON MEN ABR/15,SE,2015-05-01,2015-04-23,3.3,388.00000000000006,0,1,0,0
5956,SE CON MEN MAI/15,SE,2015-06-01,2015-04-24,3.0,375.3333333333333,1,8,7,0
5191,SE CON MEN JUN/15,SE,2015-07-01,2015-04-24,3.0,352.0,2,29,28,0
5192,SE CON MEN JUN/15,SE,2015-07-01,2015-05-04,3.0,355.0,1,29,27,1
5957,SE CON MEN MAI/15,SE,2015-06-01,2015-05-11,3.0,378.1333333333334,0,8,6,1
5958,SE CON MEN MAI/15,SE,2015-06-01,2015-05-12,2.0,381.495,0,8,5,2
5193,SE CON MEN JUN/15,SE,2015-07-01,2015-05-14,1.0,354.01,1,29,26,2
5959,SE CON MEN MAI/15,SE,2015-06-01,2015-05-14,2.2,383.18181818181813,0,8,4,3
5194,SE CON MEN JUN/15,SE,2015-07-01,2015-05-15,1.5,362.6666666666667,1,29,25,3
5960,SE CON MEN MAI/15,SE,2015-06-01,2015-05-15,0.5,383.0,0,8,3,4
