,produto,submercado,expiracao,data,volume,VWAP,M,H,h,h_cresc
3572,SE CON MEN JAN/15,SE,2015-02-01,2015-01-06,1.0,378.0,0,12,10,1
3573,SE CON MEN JAN/15,SE,2015-02-01,2015-01-09,3.0,380.0,0,12,9,2
3574,SE CON MEN JAN/15,SE,2015-02-01,2015-01-12,3.5,380.85714285714283,0,12,8,3
3575,SE CON MEN JAN/15,SE,2015-02-01,2015-01-15,1.0,386.0,0,12,7,4
3576,SE CON MEN JAN/15,SE,2015-02-01,2015-01-20,4.0,393.0,0,12,6,5
3577,SE CON MEN JAN/15,SE,2015-02-01,2015-01-21,1.0,393.5,0,12,5,6
3578,SE CON MEN JAN/15,SE,2015-02-01,2015-01-22,4.0,393.9975,0,12,4,7
3579,SE CON MEN JAN/15,SE,2015-02-01,2015-01-26,1.0,395.0,0,12,3,8
3580,SE CON MEN JAN/15,SE,2015-02-01,2015-01-27,10.5,395.2476190476191,0,12,2,9
3581,SE CON MEN JAN/15,SE,2015-02-01,2015-01-28,2.0,395.0,0,12,1,10
3582,SE CON MEN JAN/15,SE,2015-02-01,2015-01-29,1.0,394.0,0,12,0,11
395,SE CON MEN ABR/15,SE,2015-05-01,2015-04-23,3.3,388.00000000000006,0,1,0,0
4971,SE CON MEN JUN/15,SE,2015-07-01,2015-04-24,3.0,352.0,2,29,28,0
5734,SE CON MEN MAI/15,SE,2015-06-01,2015-04-24,3.0,375.3333333333333,1,8,7,0
4972,SE CON MEN JUN/15,SE,2015-07-01,2015-05-04,3.0,355.0,1,29,27,1
5735,SE CON MEN MAI/15,SE,2015-06-01,2015-05-11,3.0,378.1333333333334,0,8,6,1
5736,SE CON MEN MAI/15,SE,2015-06-01,2015-05-12,2.0,381.495,0,8,5,2
5737,SE CON MEN MAI/15,SE,2015-06-01,2015-05-14,2.2,383.18181818181813,0,8,4,3
4973,SE CON MEN JUN/15,SE,2015-07-01,2015-05-14,1.0,354.01,1,29,26,2
