,strat_id,init_cash,buy_prop,sell_prop,fractional,slippage,single_position,commission,stop_loss,stop_trail,take_profit,execution_type,channel,symbol,allow_short,short_max,add_cash_amount,add_cash_freq,invest_div,fast_period,slow_period,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
0,1,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,32,8.962023424722076,0.002554738718563876,0.9036900934536579,90.3690093453658,61,26.15003965761361,276235445.8688209,"AutoOrderedDict([('len', 397), ('drawdown', 46.691950115349385), ('moneydown', 276235445.8688209)])",46.691950115349385,397,1.180173973761035,780012649.53,780112649.528406,65,0.4461538461538462,29,36,28992290.046687018,28992.29004668702,-1687882.272931043,-1687.8822729310432,496628594.479352,496628.594479352,-16041650.806095354,-16041.650806095353
1,3,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,36,8.944237220322892,0.0025496685348696956,0.9012593279276426,90.12593279276426,61,26.14986893651298,271363302.34489846,"AutoOrderedDict([('len', 385), ('drawdown', 46.70280299871447), ('moneydown', 271363302.34489846)])",46.70280299871447,385,1.2004430476704644,766260072.12,766360072.1152875,62,0.41935483870967744,26,36,31648194.748833712,31648.194748833714,-1572027.5376219172,-1572.0275376219172,481044078.56887394,481044.0785688739,-16367603.373186026,-16367.603373186026
2,0,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,30,8.90934808554016,0.002539722943426499,0.8965001888850774,89.65001888850774,61,26.150038806706426,262061231.26204252,"AutoOrderedDict([('len', 356), ('drawdown', 46.69928527196706), ('moneydown', 262061231.26204276)])",46.69928527196706,356,1.1723992126540759,739983481.41,740083481.4059725,67,0.47761194029850745,32,35,24876358.807494957,24876.35880749496,-1601714.2981104616,-1601.7142981104616,471145549.55051315,471145.54955051315,-15225873.108437173,-15225.873108437174
3,2,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,34,8.757699545868045,0.002496493599164209,0.8759522309046214,87.59522309046214,61,26.15004162249911,225186689.59428346,"AutoOrderedDict([('len', 397), ('drawdown', 46.70280299871447), ('moneydown', 225186689.59428346)])",46.70280299871447,397,1.1917543280625025,635846507.99,635946507.9931962,63,0.42857142857142855,27,36,25442000.927474983,25442.000927474983,-1419097.6957952343,-1419.0976957952341,404850828.5999441,404850.8285999441,-13878682.891389603,-13878.682891389602
4,4,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,38,8.556713463434072,0.0024391999610701457,0.8490618274975714,84.90618274975714,61,26.14987010586591,184183920.40643978,"AutoOrderedDict([('len', 397), ('drawdown', 46.692368759868586), ('moneydown', 184183920.40643978)])",46.692368759868586,397,1.169061795301794,520055793.94,520155793.9431311,58,0.43103448275862066,25,33,22291905.938675884,22291.905938675885,-1128541.0461747309,-1128.541046174731,326501717.48908293,326501.71748908295,-11424994.358900728,-11424.994358900727
5,5,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,40,8.32895241800088,0.0023742737793617102,0.819054739741732,81.9054739741732,61,26.034406082181377,145792774.54631472,"AutoOrderedDict([('len', 667), ('drawdown', 46.693505941556005), ('moneydown', 146439372.92550337)])",46.693505941556005,667,1.1559969646005863,414107611.43,414207611.4279176,56,0.48214285714285715,27,29,16244653.165398408,16244.653165398408,-844759.4495806711,-844.7594495806711,260238785.70310137,260238.78570310134,-9012371.743273601,-9012.371743273601
6,6,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,42,8.178036950807323,0.0023312534067295677,0.7994406354002711,79.94406354002712,61,32.81201028079176,173947228.04890174,"AutoOrderedDict([('len', 415), ('drawdown', 46.695269888500064), ('moneydown', 173947228.04890174)])",46.695269888500064,415,1.2140582575961214,356085569.55,356185569.54665107,54,0.4444444444444444,24,30,15332598.284466103,15332.598284466105,-396559.64268451364,-396.5596426845136,210428607.97561064,210428.60797561065,-2216662.9979999913,-2216.6629979999916
7,7,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,44,8.13499103739458,0.002318982621834259,0.7938849312662009,79.38849312662009,61,32.81201451709501,166618412.84187686,"AutoOrderedDict([('len', 397), ('drawdown', 46.68946659610015), ('moneydown', 166618412.84187686)])",46.68946659610015,397,1.2260620057136316,341078549.02,341178549.0150945,49,0.4897959183673469,24,25,14674651.530266425,14674.651530266425,-444523.5084519855,-444.52350845198544,201562744.463884,201562.744463884,-2145858.0479999916,-2145.858047999992
8,8,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,46,8.05417825244922,0.002295945910048238,0.7835011477099904,78.35011477099904,61,32.812012293026726,153683202.81609297,"AutoOrderedDict([('len', 422), ('drawdown', 46.688078292820045), ('moneydown', 153683202.81609297)])",46.688078292820045,422,1.209884640160471,314591615.05,314691615.0513075,47,0.48936170212765956,23,24,14184647.426294928,14184.647426294927,-485636.4897281625,-485.63648972816253,185914675.39070144,185914.67539070145,-2004472.0559999922,-2004.472055999992
9,9,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,48,8.014988290634028,0.0022847743131795975,0.7784872206606371,77.84872206606371,61,32.812229179882465,147778308.506037,"AutoOrderedDict([('len', 423), ('drawdown', 46.69826707470836), ('moneydown', 147778308.506037)])",46.69826707470836,423,1.1988479034742774,302497396.53,302597396.5272604,46,0.5217391304347826,24,22,13008956.188890507,13008.956188890508,-441706.90936871467,-441.70690936871466,181733528.7647448,181733.52876474478,-1918055.4779999927,-1918.0554779999927
