dt,type_sma,price_sma,portfolio_value_sma,dt_sma,type_ema,price_ema,portfolio_value_ema,dt_ema,type_bbands,price_bbands,portfolio_value_bbands,dt_bbands
2015-06-08,buy,359.56249999999994,100000.0,2015-06-08,,,,,,,,
2015-06-12,sell,355.4485981308412,98860.44918224304,2015-06-12,,,,,,,,
2015-08-12,buy,185.7837837837837,102028.50999305389,2015-08-12,,,,,,,,
2015-09-12,sell,170.5,90744.75999305389,2015-09-12,,,,,,,,
2016-02-27,buy,54.72252992674647,90864.21822519158,2016-02-27,,,,,,,,
2016-03-03,sell,48.16949152542373,79892.92840046341,2016-03-03,,,,,,,,
2016-03-29,buy,48.0,83216.92840046341,2016-03-29,,,,,,,,
2016-06-21,buy,67.87298850574713,114341.50207862433,2016-06-21,,,,,,,,
2016-08-24,sell,145.27692307692308,241644.5784888808,2016-08-24,,,,,,,,
2016-11-06,buy,166.0,241644.5784888808,2016-11-06,,,,,,,,
2016-11-17,sell,153.0,222742.5784888808,2016-11-17,,,,,,,,
2017-06-20,buy,202.8909090909091,245714.52498238723,2017-06-20,,,,,,,,
2017-08-09,sell,238.19336677731965,261434.07211318676,2017-08-09,,,,,,,,
2017-08-18,buy,253.1236112166129,264275.3986852027,2017-08-18,,,,,,,,
2017-09-27,sell,319.5614202634515,329931.45324047736,2017-09-27,,,,,,,,
2017-10-03,buy,343.576630196312,338846.39953885606,2017-10-03,,,,,,,,
2017-10-09,sell,335.9965205260717,322662.12806671695,2017-10-09,,,,,,,,
2017-10-10,buy,340.4047364225441,337207.8171038567,2017-10-10,,,,,,,,
2017-10-19,sell,337.01147610200985,319452.1038034916,2017-10-19,,,,,,,,
2017-12-12,buy,180.5,317736.1038034916,2017-12-12,,,,,,,,
2018-01-05,sell,155.27272727272728,274850.2856216734,2018-01-05,,,,,,,,
2018-01-31,buy,153.18695804749987,295139.47933435533,2018-01-31,,,,,,,,
2018-03-23,sell,238.79428772832887,428258.6204097191,2018-03-23,,,,,,,,
2018-04-23,buy,175.19150711430254,439872.305260886,2018-04-23,,,,,,,,
2018-08-17,sell,433.5304730595327,1059122.3752479712,2018-08-17,,,,,,,,
2018-12-05,buy,99.67142662025354,1036370.412020647,2018-12-05,,,,,,,,
2019-02-19,sell,335.30581875888515,3560381.4477995457,2019-02-19,,,,,,,,
2019-03-25,buy,234.0702279449417,3794248.223530654,2019-03-25,,,,,,,,
2019-04-13,sell,233.7896056113936,3556117.3914412824,2019-04-13,,,,,,,,
2019-06-05,buy,174.37520168599065,3564267.6291335854,2019-06-05,,,,,,,,
2019-07-14,sell,204.734669578864,4174630.830822791,2019-07-14,,,,,,,,
2019-07-30,buy,212.295751397474,4264401.308725648,2019-07-30,,,,,,,,
2019-08-19,sell,205.26848217663803,4036587.154248689,2019-08-19,,,,,,,,
2019-08-22,buy,208.50429253205783,4056757.757813535,2019-08-22,,,,,,,,
2019-08-24,sell,209.16821876818287,4049427.487655348,2019-08-24,,,,,,,,
2019-08-26,buy,210.58149129058737,3885934.853079112,2019-08-26,,,,,,,,
2019-08-27,sell,202.0706826192581,3885934.853079112,2019-08-27,,,,,,,,
2019-09-11,buy,197.5276826333665,3951984.556238265,2019-09-11,,,,,,,,
2019-09-16,sell,192.1232448859712,3779721.438029552,2019-09-16,,,,,,,,
2019-09-19,buy,194.09416935194872,3758288.2845330792,2019-09-19,,,,,,,,
2019-09-23,sell,190.212157037848,3704200.770471036,2019-09-23,,,,,,,,
2019-09-24,buy,191.07699685138311,3834221.458714516,2019-09-24,,,,,,,,
2019-11-02,sell,243.52011601160115,4719814.216127818,2019-11-02,,,,,,,,
2019-11-13,buy,240.3392598049514,4819685.189660287,2019-11-13,,,,,,,,
2019-11-20,sell,226.93746354673115,4456897.7771340525,2019-11-20,,,,,,,,
2019-12-24,buy,203.82531541778715,4517357.998811046,2019-12-24,,,,,,,,
2020-01-08,sell,227.45001436658103,4972955.700971507,2020-01-08,,,,,,,,
2020-01-14,buy,238.3970268329396,5295736.553458225,2020-01-14,,,,,,,,
2020-01-20,sell,237.4500199474477,4953221.024484741,2020-01-20,,,,,,,,
2020-04-15,buy,62.462021929541336,5008192.940994161,2020-04-15,,,,,,,,
2020-06-05,sell,91.3548199804008,7242108.486073828,2020-06-05,,,,,,,,
2020-06-06,buy,93.68845844068304,7242216.3841910865,2020-06-06,,,,,,,,
2020-06-21,sell,106.2080792104194,8208898.641154409,2020-06-21,,,,,,,,
2020-07-23,buy,91.7287288112068,8264651.012737823,2020-07-23,,,,,,,,
2020-08-09,sell,94.719481784163,8476274.947689664,2020-08-09,,,,,,,,
2020-08-30,buy,91.3373856911294,8542275.551600859,2020-08-30,,,,,,,,
2020-10-21,sell,199.9738778039798,18547855.49497991,2020-10-21,,,,,,,,
2020-10-22,buy,217.9819635702298,20011268.681561023,2020-10-22,,,,,,,,
2020-11-02,sell,239.6365194411819,20388557.70767845,2020-11-02,,,,,,,,
2020-11-03,buy,244.65401523998264,23553287.780882563,2020-11-03,,,,,,,,
2020-12-01,sell,304.2207174185935,25347664.36415434,2020-12-01,,,,,,,,
2020-12-27,buy,247.37153980362743,26970455.667656086,2020-12-27,,,,,,,,
2021-01-04,sell,211.0914234580692,21633850.25444127,2021-01-04,,,,,,,,
2021-01-05,buy,243.23173637196737,20480104.22071664,2021-01-05,,,,,,,,
2021-01-07,sell,226.10424668260555,20112004.285582718,2021-01-07,,,,,,,,
2021-01-12,buy,248.15903572066105,21594291.28345796,2021-01-12,,,,,,,,
2021-01-20,sell,234.5004250745385,19006162.191840693,2021-01-20,,,,,,,,
2021-03-24,buy,128.6121022807509,21425417.19700477,2021-03-24,,,,,,,,
2021-07-11,sell,542.294661468873,80078532.08734235,2021-07-11,,,,,,,,
2021-07-13,buy,547.0935455387925,80660176.13380557,2021-07-13,,,,,,,,
2021-08-18,sell,562.6750816372391,82356926.62180161,2021-08-18,,,,,,,,
2021-11-20,buy,154.1197204286157,84318589.72557096,2021-11-20,,,,,,,,
2021-12-19,sell,183.6068618978937,98098194.78805365,2021-12-19,,,,,,,,
2021-12-23,buy,199.10806260688813,98700357.81251444,2021-12-23,,,,,,,,
2021-12-28,sell,166.516065097572,82056543.98195828,2021-12-28,,,,,,,,
2022-02-25,buy,77.17038831841248,82128213.3746164,2022-02-25,,,,,,,,
2022-02-28,sell,74.94251309891395,79689974.6185451,2022-02-28,,,,,,,,
2022-03-01,buy,75.58479670005079,78558270.76346204,2022-03-01,,,,,,,,
2022-03-03,sell,71.14142771804062,75009960.69129103,2022-03-03,,,,,,,,
2022-03-05,buy,73.596326972403,75528405.49760747,2022-03-05,,,,,,,,
2022-03-14,sell,72.43925289156236,73831840.58999398,2022-03-14,,,,,,,,
2022-04-13,buy,69.66117647058823,75025389.64454125,2022-04-13,,,,,,,,
2022-05-27,sell,88.93661482295336,94240886.74730006,2022-05-27,,,,,,,,
2022-07-05,buy,75.23029345246839,100119293.509054,2022-07-05,,,,,,,,
2022-08-11,sell,89.77684695693281,112445127.49080156,2022-08-11,,,,,,,,
2022-11-06,buy,57.545959271168286,112917292.8027131,2022-11-06,,,,,,,,
2023-01-09,sell,69.20183384887315,135198012.42783406,2023-01-09,,,,,,,,
2023-02-06,buy,69.2885714285713,135208898.023029,2023-02-06,,,,,,,,
2023-02-16,sell,68.75827927769987,134164324.01369125,2023-02-16,,,,,,,,
2023-02-21,buy,69.13534663865546,134264413.7035547,2023-02-21,,,,,,,,
