dt,portfolio_value_x,cash_x,size_x,return_x,portfolio_value_y,cash_y,size_y,return_y,portfolio_value,cash,size,return
2015-05-24,100000.0,100000.0,0.0,,,,,,,100000.0,0,0.0
2015-05-25,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-05-26,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-05-27,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-05-28,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-05-29,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-05-30,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-05-31,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-06-01,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-02,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-03,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-04,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-05,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-06,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-07,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-08,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-09,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-10,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-11,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-12,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-13,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-14,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-15,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-16,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-17,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-18,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-19,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-20,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-21,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-22,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-23,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-06-24,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-06-25,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-06-26,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-06-27,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-06-28,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-06-29,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-06-30,100000.0,100000.0,0.0,0.0,,,,,100000.0,100000.0,0,0.0
2015-07-01,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-02,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-03,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-04,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-05,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-06,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-07,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-08,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-09,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-10,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-11,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-12,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-13,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-14,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-15,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-16,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-17,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-18,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-19,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-20,,100000.0,0.0,0.0,,,,,,100000.0,0,0.0
2015-07-21,,100000.0,0.0,0.0,100000.0,100000.0,0.0,,,100000.0,0,0.0
2015-07-22,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-07-23,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-07-24,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-07-25,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-07-26,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-07-27,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-07-28,100000.0,100000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,100000.0,100000.0,0,0.0
2015-07-29,100000.0,100000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,100000.0,100000.0,0,0.0
2015-07-30,100000.0,100000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,100000.0,100000.0,0,0.0
2015-07-31,100000.0,100000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,100000.0,100000.0,0,0.0
2015-08-01,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-08-02,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-08-03,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-08-04,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-08-05,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
2015-08-06,,100000.0,0.0,0.0,,100000.0,0.0,0.0,,100000.0,0,0.0
