dt,close,Soma_Volumes,return,position_linear_regression,return_linear_regression,position_ridge_regression,return_ridge_regression,position_logistic_regression,return_logistic_regression,position_lgbm_regression,return_lgbm_regression,position_lgbm_classifier,return_lgbm_classifier,position_xgboost_regression,return_xgboost_regression,position_xgboost_classifier,return_xgboost_classifier,position_gnb,return_gnb,position_random_forest,return_random_forest,position_svc,return_svc,position_linear_svc,return_linear_svc
16/01/18,169,1,0.040246881,1,0.1431008436406730,1,0.1431008436406730,1,0.1431008436406730,1,0.1431008436406730,1,0.1431008436406730,1,0.1431008436406730,1,0.1431008436406730,0,0,1,0.1431008436406730,0,0,0,0
21/02/18,195,1,0.1431008436406730,0,0,0,0,0,0,1,0.078858575,1,0.078858575,1,0.078858575,1,0.078858575,0,0,1,0.078858575,0,0,0,0
09/03/18,211,2,0.078858575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/04/18,204,3.5,-0.03373814,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
11/04/18,204,3,0,1,-0.019802627,0,0,0,0,0,0,0,0,0,0,1,-0.019802627,0,0,0,0,0,0,0,0
20/04/18,200,2,-0.019802627,1,0.01516741,1,0.01516741,0,0,1,0.01516741,1,0.01516741,1,0.01516741,1,0.01516741,0,0,1,0.01516741,0,0,0,0
07/05/18,203.0566038,15.9,0.01516741,0,0,0,0,0,0,1,-0.000278797,1,-0.000278797,1,-0.000278797,1,-0.000278797,0,0,0,0,0,0,0,0
08/05/18,203,3.5,-0.000278797,0,0,0,0,0,0,1,-0.004938282,0,0,1,-0.004938282,1,-0.004938282,0,0,0,0,0,0,0,0
09/05/18,202,3,-0.004938282,0,0,0,0,0,0,1,0.001236859,1,0.001236859,1,0.001236859,1,0.001236859,0,0,1,0.001236859,0,0,0,0
10/05/18,202.25,1,0.001236859,0,0,0,0,0,0,1,0.037602975,1,0.037602975,1,0.037602975,1,0.037602975,0,0,1,0.037602975,0,0,0,0
22/05/18,210,1,0.037602975,0,0,0,0,0,0,1,0.009478744,1,0.009478744,1,0.009478744,0,0,0,0,1,0.009478744,0,0,0,0
04/06/18,212,5,0.009478744,0,0,0,0,0,0,1,0.014051753,1,0.014051753,1,0.014051753,0,0,0,0,1,0.014051753,0,0,0,0
08/06/18,215,2,0.014051753,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14/06/18,215,2,0,0,0,0,0,0,0,1,0.023898196,1,0.023898196,1,0.023898196,0,0,0,0,1,0.023898196,0,0,0,0
20/06/18,220.2,5,0.023898196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/06/18,217,2,-0.014638871,0,0,0,0,0,0,1,0.022780028,1,0.022780028,1,0.022780028,0,0,0,0,1,0.022780028,0,0,0,0
29/06/18,222,5,0.022780028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/18,219,1.4,-0.013605652,0,0,0,0,0,0,0,0,1,0.004555817,0,0,0,0,0,0,1,0.004555817,0,0,0,0
11/07/18,220,1,0.004555817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/07/18,217,3,-0.013730193,0,0,1,0.013730193,0,0,0,0,1,0.013730193,1,0.013730193,0,0,0,0,1,0.013730193,1,0.013730193,0,0
17/07/18,220,7,0.013730193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
