,data,produto,submercado,expiracao,volume,VWAP,M,H,h,h_cresc
0,2014-12-16,SE CON MEN JAN/15,SE,2015-02-01,1.0,355.0,1.0,47.0,46.0,0.0
1,2014-12-17,SE CON MEN JAN/15,SE,2015-02-01,,356.0952380952381,1.0,47.0,45.0,1.0
2,2014-12-18,SE CON MEN JAN/15,SE,2015-02-01,,357.1904761904762,1.0,47.0,44.0,2.0
3,2014-12-19,SE CON MEN JAN/15,SE,2015-02-01,,358.2857142857143,1.0,47.0,43.0,3.0
4,2014-12-20,SE CON MEN JAN/15,SE,2015-02-01,,359.3809523809524,1.0,47.0,42.0,4.0
5,2014-12-21,SE CON MEN JAN/15,SE,2015-02-01,,360.4761904761905,1.0,47.0,41.0,5.0
6,2014-12-22,SE CON MEN JAN/15,SE,2015-02-01,,361.57142857142856,1.0,47.0,40.0,6.0
7,2014-12-23,SE CON MEN JAN/15,SE,2015-02-01,,362.6666666666667,1.0,47.0,39.0,7.0
8,2014-12-24,SE CON MEN JAN/15,SE,2015-02-01,,363.76190476190476,1.0,47.0,38.0,8.0
9,2014-12-25,SE CON MEN JAN/15,SE,2015-02-01,,364.85714285714283,1.0,47.0,37.0,9.0
10,2014-12-26,SE CON MEN JAN/15,SE,2015-02-01,,365.95238095238096,1.0,47.0,36.0,10.0
11,2014-12-27,SE CON MEN JAN/15,SE,2015-02-01,,367.04761904761904,1.0,47.0,35.0,11.0
12,2014-12-28,SE CON MEN JAN/15,SE,2015-02-01,,368.14285714285717,1.0,47.0,34.0,12.0
13,2014-12-29,SE CON MEN JAN/15,SE,2015-02-01,,369.23809523809524,1.0,47.0,33.0,13.0
14,2014-12-30,SE CON MEN JAN/15,SE,2015-02-01,,370.3333333333333,1.0,47.0,32.0,14.0
15,2014-12-31,SE CON MEN JAN/15,SE,2015-02-01,,371.42857142857144,1.0,47.0,31.0,15.0
16,2015-01-01,,,,,,,,,
17,2015-01-02,,,,,,,,,
18,2015-01-03,,,,,,,,,
19,2015-01-04,,,,,,,,,
20,2015-01-05,,,,,,,,,
21,2015-01-06,,,,,,,,,
22,2015-01-07,,,,,,,,,
23,2015-01-08,,,,,,,,,
24,2015-01-09,,,,,,,,,
25,2015-01-10,,,,,,,,,
26,2015-01-11,,,,,,,,,
27,2015-01-12,,,,,,,,,
28,2015-01-13,,,,,,,,,
29,2015-01-14,,,,,,,,,
30,2015-01-15,,,,,,,,,
31,2015-01-16,,,,,,,,,
32,2015-01-17,,,,,,,,,
33,2015-01-18,,,,,,,,,
34,2015-01-19,,,,,,,,,
35,2015-01-20,,,,,,,,,
36,2015-01-21,,,,,,,,,
37,2015-01-22,,,,,,,,,
38,2015-01-23,,,,,,,,,
39,2015-01-24,,,,,,,,,
40,2015-01-25,,,,,,,,,
41,2015-01-26,,,,,,,,,
42,2015-01-27,,,,,,,,,
43,2015-01-28,,,,,,,,,
44,2015-01-29,,,,,,,,,
45,2015-01-30,,,,,,,,,
46,2015-01-31,,,,,,,,,
47,2015-02-01,,,,,,,,,
48,2015-02-02,,,,,,,,,
49,2015-02-03,,,,,,,,,
50,2015-02-04,,,,,,,,,
51,2015-02-05,,,,,,,,,
52,2015-02-06,,,,,,,,,
53,2015-02-07,,,,,,,,,
54,2015-02-08,,,,,,,,,
55,2015-02-09,,,,,,,,,
56,2015-02-10,,,,,,,,,
57,2015-02-11,,,,,,,,,
58,2015-02-12,,,,,,,,,
59,2015-02-13,,,,,,,,,
60,2015-02-14,,,,,,,,,
61,2015-02-15,,,,,,,,,
62,2015-02-16,,,,,,,,,
63,2015-02-17,,,,,,,,,
64,2015-02-18,,,,,,,,,
65,2015-02-19,,,,,,,,,
66,2015-02-20,,,,,,,,,
67,2015-02-21,,,,,,,,,
68,2015-02-22,,,,,,,,,
69,2015-02-23,,,,,,,,,
70,2015-02-24,,,,,,,,,
71,2015-02-25,,,,,,,,,
72,2015-02-26,,,,,,,,,
73,2015-02-27,,,,,,,,,
74,2015-02-28,,,,,,,,,
75,2015-03-01,,,,,,,,,
76,2015-03-02,,,,,,,,,
77,2015-03-03,,,,,,,,,
78,2015-03-04,,,,,,,,,
79,2015-03-05,,,,,,,,,
80,2015-03-06,,,,,,,,,
81,2015-03-07,,,,,,,,,
82,2015-03-08,,,,,,,,,
83,2015-03-09,,,,,,,,,
84,2015-03-10,,,,,,,,,
85,2015-03-11,,,,,,,,,
86,2015-03-12,,,,,,,,,
87,2015-03-13,,,,,,,,,
88,2015-03-14,,,,,,,,,
89,2015-03-15,,,,,,,,,
90,2015-03-16,,,,,,,,,
91,2015-03-17,,,,,,,,,
92,2015-03-18,,,,,,,,,
93,2015-03-19,,,,,,,,,
94,2015-03-20,,,,,,,,,
95,2015-03-21,,,,,,,,,
96,2015-03-22,,,,,,,,,
97,2015-03-23,,,,,,,,,
98,2015-03-24,,,,,,,,,
99,2015-03-25,,,,,,,,,
100,2015-03-26,,,,,,,,,
101,2015-03-27,,,,,,,,,
102,2015-03-28,,,,,,,,,
