Data_Estudo_EPE,Submercado,Ano_referencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Jan-dez
2008-2012,1,2008,3503,3582,3610,3654,3680,3666,3652,3732,3700,3741,3729,3696,3662
2008-2012,1,2009,3912,3903,3893,3892,3958,3963,3932,3971,3982,3968,3956,3921,3938
2008-2012,1,2010,4119,4109,4098,4098,4167,4172,4139,4180,4192,4177,4165,4128,4146
2008-2012,1,2011,4338,4328,4316,4316,4389,4394,4359,4403,4415,4399,4386,4347,4366
2008-2012,1,2012,5605,5556,5548,5586,5658,5691,5709,5812,5839,5851,5840,5687,5699
2008-2012,2,2008,7581,7621,7464,7510,7417,7166,7187,7394,7599,7907,7993,7850,7557
2008-2012,2,2009,8014,7966,7984,7913,7785,7643,7662,7751,7925,8104,8127,8087,7913
2008-2012,2,2010,8395,8344,8363,8289,8155,8006,8026,8120,8301,8489,8513,8471,8289
2008-2012,2,2011,8807,8754,8773,8696,8555,8399,8419,8518,8708,8906,8931,8887,8696
2008-2012,2,2012,9219,9163,9184,9103,8956,8792,8813,8916,9116,9322,9349,9302,9103
2008-2012,3,2008,31281,31833,32500,32586,31419,31820,31936,32923,32988,33189,32830,32320,32302
2008-2012,3,2009,33454,34344,34751,34159,33892,33758,33825,34287,34426,34556,34180,33649,34104
2008-2012,3,2010,35529,36452,36920,36286,35609,35470,35540,36027,36171,36308,35913,35355,35961
2008-2012,3,2011,37122,38085,38577,37914,37206,37059,37129,37637,37786,37933,37523,36943,37572
2008-2012,3,2012,38688,39689,40204,39512,38776,38624,38698,39229,39384,39534,39105,38499,39159
2008-2012,4,2008,8906,9136,8894,8689,8277,8567,8665,8483,8501,8537,8625,8757,8668
2008-2012,4,2009,9283,9491,9589,9178,8948,8933,8870,8822,8732,8781,8871,9007,9039
2008-2012,4,2010,9697,9914,10016,9587,9346,9331,9266,9216,9121,9172,9266,9408,9442
2008-2012,4,2011,10138,10365,10472,10023,9771,9755,9687,9635,9536,9589,9687,9836,9872
2008-2012,4,2012,10577,10813,10925,10457,10195,10178,10106,10052,9949,10004,10107,10262,10301
2008-2012,5,2008,51272,52171,52468,52439,50793,51218,51439,52532,52788,53374,53177,52623,52189
2008-2012,5,2009,54664,55704,56216,55142,54583,54296,54288,54831,55065,55408,55133,54663,54995
2008-2012,5,2010,57740,58819,59397,58259,57278,56979,56970,57543,57786,58146,57857,57362,57838
2008-2012,5,2011,60405,61531,62138,60948,59922,59608,59594,60192,60445,60827,60527,60012,60505
2008-2012,5,2012,64089,65221,65862,64658,63584,63286,63327,64010,64288,64711,64401,63751,64262
2009-2013,1,2009,3622,3529,3615,3596,3582,3662,3627,3615,3652,3643,3697,3688,3628
2009-2013,1,2010,3881,3872,3861,3861,3926,3931,3900,3939,3950,3936,3924,3889,3906
2009-2013,1,2011,4133,4123,4112,4111,4181,4186,4153,4194,4206,4191,5343,5200,4345
2009-2013,1,2012,5374,5326,5319,5356,5425,5458,5477,5579,5604,5617,5607,5457,5467
2009-2013,1,2013,5676,5663,5618,5657,5729,5764,5784,5891,5919,5932,5922,5763,5777
2009-2013,2,2009,7497,7518,7723,7450,7196,7191,7326,7450,7740,8018,8038,7998,7596
2009-2013,2,2010,8227,8177,8196,8123,7992,7846,7865,7957,8135,8319,8343,8301,8123
2009-2013,2,2011,8640,8587,8607,8531,8393,8240,8260,8356,8543,8737,8761,8718,8531
2009-2013,2,2012,9047,8992,9013,8933,8789,8628,8649,8750,8946,9148,9174,9129,8933
2009-2013,2,2013,9480,9423,9444,9361,9209,9041,9063,9169,9374,9586,9614,9566,9360
2009-2013,3,2009,30277,32074,33125,31207,30916,30332,31275,31939,32920,33350,33385,32869,31972
2009-2013,3,2010,33532,34402,34845,34246,33607,33476,33543,34004,34139,34269,33896,33369,33940
2009-2013,3,2011,35238,36151,36620,35990,35318,35178,35245,35728,35869,36010,35620,35069,35666
2009-2013,3,2012,36943,37897,38391,37731,37027,36882,36954,37461,37609,37752,37343,36764,37393
2009-2013,3,2013,38751,39757,40271,39578,38840,38688,38763,39295,39450,39600,39171,38564,39223
2009-2013,4,2009,8570,9130,9248,8751,8352,8471,8521,8284,8374,8673,8637,8824,8650
2009-2013,4,2010,9449,9660,9760,9342,9108,9092,9029,8980,8888,8938,9029,9168,9201
2009-2013,4,2011,9815,10034,10138,9703,9460,9444,9378,9328,9232,9284,9379,9523,9557
2009-2013,4,2012,10190,10418,10525,10074,9822,9805,9737,9684,9585,9638,9737,9887,9924
2009-2013,4,2013,10581,10818,10929,10461,10199,10182,10110,10056,9953,10008,10111,10266,10303
2009-2013,5,2009,49965,52252,53711,51004,50045,49656,50749,51288,52686,53684,53756,53379,51845
2009-2013,5,2010,55089,56111,56662,55572,54633,54345,54337,54879,55112,55461,55192,54727,55170
2009-2013,5,2011,57825,58896,59477,58335,57353,57049,57037,57606,57851,58221,59104,58511,58099
2009-2013,5,2012,61555,62633,63248,62094,61062,60773,60816,61474,61744,62156,61862,61236,61717
2009-2013,5,2013,64488,65660,66262,65056,63977,63675,63720,64411,64696,65127,64817,64159,64664
2010-2014,1,2010,3766,3859,3958,3943,3971,3975,3944,3983,3995,3980,3968,3933,3940
2010-2014,1,2011,4194,4184,4172,4172,4243,4248,4214,4256,4268,4253,4240,4202,4221
2010-2014,1,2012,4403,4392,4380,4380,4454,4460,4425,4468,4481,4465,4452,4412,4431
2010-2014,1,2013,5720,5765,5711,5756,5839,5877,5815,5940,6011,5973,6011,5856,5856
2010-2014,1,2014,6043,6092,6035,6083,6169,6211,6145,6277,6352,6309,6350,6185,6188
2010-2014,2,2010,8168,8475,8735,8357,8240,8005,8025,8118,8300,8488,8512,8470,8323
2010-2014,2,2011,8834,8780,8800,8722,8582,8425,8445,8544,8735,8933,8958,8914,8722
2010-2014,2,2012,9226,9171,9192,9110,8963,8799,8821,8924,9124,9330,9357,9310,9110
2010-2014,2,2013,9688,9629,9651,9566,9411,9239,9262,9370,9580,9797,9824,9776,9566
2010-2014,2,2014,10171,10110,10133,10043,9881,9700,9724,9837,10057,10285,10314,10263,10043
2010-2014,3,2010,34320,35986,35720,35163,33944,33700,33790,34230,34364,34497,34155,33589,34443
2010-2014,3,2011,35648,36572,37039,36407,35737,35594,35678,36172,36304,36449,36047,35480,36090
2010-2014,3,2012,37292,38292,38747,38099,37385,37247,37323,37840,37991,38130,37723,37116,37763
2010-2014,3,2013,39262,40324,40788,40103,39352,39208,39268,39803,39972,40111,39694,39062,39741
2010-2014,3,2014,40978,42088,42571,41856,41074,40925,40993,41554,41731,41874,41437,40772,41483
2010-2014,4,2010,9442,10074,9898,9426,9166,9150,9086,9037,8945,8995,9087,9227,9290
2010-2014,4,2011,9869,10089,10193,9757,9512,9496,9430,9379,9283,9335,9430,9575,9610
2010-2014,4,2012,10250,10479,10587,10133,9879,9863,9794,9741,9641,9695,9794,9945,9982
2010-2014,4,2013,10678,10916,11029,10556,10291,10274,10202,10147,10043,10099,10203,10360,10397
2010-2014,4,2014,11120,11369,11486,10994,10718,10700,10625,10568,10460,10518,10626,10789,10828
2010-2014,5,2010,55695,58394,58311,56889,55321,54831,54845,55369,55603,55960,55722,55218,55996
2010-2014,5,2011,58544,59625,60206,59058,58074,57762,57767,58351,58591,58970,58675,58171,58643
2010-2014,5,2012,61171,62334,62906,61722,60682,60369,60362,60973,61237,61620,61325,60783,61286
2010-2014,5,2013,65347,66635,67179,65981,64894,64598,64547,65260,65606,65980,65732,65053,65560
2010-2014,5,2014,68312,69658,70224,68975,67842,67537,67487,68237,68600,68986,68727,68010,68542
2011-2015,1,2011,3859,3934,4015,4104,4160,4090,3984,4114,4143,4168,4166,4143,4074
2011-2015,1,2012,4294,4289,4279,4280,4348,4338,4305,4351,4358,4357,4356,4319,4323
2011-2015,1,2013,4482,4477,4466,4467,4538,4528,5559,5682,5742,5718,5766,5622,5092
2011-2015,1,2014,5743,5797,5743,5791,5868,5891,5855,5988,6054,6028,6082,5924,5897
2011-2015,1,2015,6042,6099,6042,6093,6174,6199,6160,6301,6371,6343,6400,6233,6205
2011-2015,2,2011,8218,8329,8505,8378,8169,8093,8080,8302,8728,8943,9001,8926,8473
2011-2015,2,2012,8954,8848,8885,8771,8605,8389,8412,8591,8842,9056,9114,9039,8792
2011-2015,2,2013,9390,9279,9317,9197,9024,8797,8822,9009,9272,9497,9558,9479,9220
2011-2015,2,2014,9875,9758,9798,9673,9490,9252,9278,9474,9751,9988,10052,9969,9696
2011-2015,2,2015,10362,10239,10281,10149,9958,9708,9735,9941,10232,10480,10547,10460,10174
2011-2015,3,2011,36156,38329,36273,36194,35236,34561,34965,35680,36595,36777,36341,35665,36047
2011-2015,3,2012,37315,38276,38736,38117,37408,37184,37280,37870,38034,38222,37770,37067,37770
2011-2015,3,2013,39124,40132,40613,39965,39222,38987,39088,39706,39878,40076,39601,38864,39600
2011-2015,3,2014,40818,41869,42372,41695,40920,40675,40780,41425,41605,41811,41316,40547,41315
2011-2015,3,2015,42372,43464,43985,43283,42479,42224,42334,43004,43190,43404,42890,42092,42889
2011-2015,4,2011,10245,10538,10083,9476,9310,9385,9619,9583,9377,9461,9582,9704,9693
2011-2015,4,2012,10457,10673,10737,10266,9968,9969,9888,9884,9764,9851,9978,10104,10127
2011-2015,4,2013,10858,11082,11148,10659,10350,10350,10266,10262,10138,10229,10360,10491,10513
2011-2015,4,2014,11273,11505,11574,11067,10745,10746,10659,10655,10526,10620,10756,10893,10915
2011-2015,4,2015,11705,11946,12018,11491,11157,11158,11067,11063,10929,11027,11168,11310,11333
2011-2015,5,2011,58478,61130,58875,58151,56874,56128,56648,57679,58844,59349,59091,58438,58287
2011-2015,5,2012,61020,62087,62636,61434,60329,59880,59885,60695,60997,61488,61218,60530,61012
2011-2015,5,2013,63853,64969,65545,64289,63134,62662,63735,64658,65030,65520,65285,64457,64425
2011-2015,5,2014,67708,68930,69487,68226,67023,66564,66571,67542,67936,68447,68206,67332,67823
2011-2015,5,2015,70480,71749,72327,71016,69767,69289,69296,70308,70721,71254,71005,70095,70601
2012-2016,1,2012,4086,4151,4228,4259,4180,3993,3983,4110,4117,4116,4115,4080,4118
2012-2016,1,2013,4188,4184,4174,4175,4241,5317,5284,5405,5466,5442,5491,5347,4896
2012-2016,1,2014,5541,5593,5541,5587,5662,5684,5649,5777,5841,5816,5868,5716,5690
2012-2016,1,2015,5765,5912,5854,5906,5983,6010,5974,6114,6187,6158,6217,6048,6011
2012-2016,1,2016,6051,6061,6031,6095,6165,6196,6133,6270,6345,6306,6362,6204,6185
2012-2016,2,2012,8936,8839,9171,9077,8980,8710,8627,8794,9051,9271,9330,9253,9004
2012-2016,2,2013,9581,9468,9507,9385,9208,8977,9002,9193,9461,9691,9753,9673,9408
2012-2016,2,2014,10002,9883,9924,9797,9612,9371,9396,9596,9876,10116,10181,10097,9820
2012-2016,2,2015,10414,10291,10333,10201,10008,9757,9784,9992,10283,10533,10600,10513,10226
2012-2016,2,2016,10862,10733,10778,10639,10438,10177,10205,10421,10725,10986,11056,10965,10665
2012-2016,3,2012,36203,38708,38894,37501,35963,35695,35389,37014,37173,37364,36914,36235,36912
2012-2016,3,2013,38142,39125,39594,38961,38237,38008,38107,38710,38878,39070,38608,37889,38606
2012-2016,3,2014,39821,40847,41337,40677,39921,39681,39785,40414,40589,40791,40308,39557,40306
2012-2016,3,2015,41441,42510,43019,42332,41545,41296,41404,42060,42242,42451,41949,41167,41947
2012-2016,3,2016,42994,44103,44631,43919,43103,42844,42956,43637,43825,44042,43522,42711,43521
2012-2016,4,2012,10319,11083,10737,9864,9894,9734,9737,9863,9744,9831,9957,10083,10068
