,data,produto,submercado,expiracao,volume,VWAP,M,H,h,h_cresc,missing,ok,result
0,2015-01-06,SE CON MEN JAN/15,SE,2015-02-01,1.0,378.0,0.0,12.0,10.0,1.0,,0,3.4499875458315876
1,2015-01-07,,,,,,,,,,-0.25,,
2,2015-01-08,,,,,,,,,,-0.25,,
3,2015-01-09,SE CON MEN JAN/15,SE,2015-02-01,3.0,380.0,0.0,12.0,9.0,2.0,,0,3.455264602932431
4,2015-01-10,,,,,,,,,,-0.25,,
5,2015-01-11,,,,,,,,,,-0.25,,
6,2015-01-12,SE CON MEN JAN/15,SE,2015-02-01,3.5,380.85714285714283,0.0,12.0,8.0,3.0,,0,3.45751770189534
7,2015-01-13,,,,,,,,,,-0.25,,
8,2015-01-14,,,,,,,,,,-0.25,,
9,2015-01-15,SE CON MEN JAN/15,SE,2015-02-01,1.0,386.0,0.0,12.0,7.0,4.0,,0,3.4709307196768306
10,2015-01-16,,,,,,,,,,-0.25,,
11,2015-01-17,,,,,,,,,,-0.25,,
12,2015-01-18,,,,,,,,,,-0.25,,
13,2015-01-19,,,,,,,,,,-0.25,,
14,2015-01-20,SE CON MEN JAN/15,SE,2015-02-01,4.0,393.0,0.0,12.0,6.0,5.0,,0,3.488902962081261
15,2015-01-21,SE CON MEN JAN/15,SE,2015-02-01,1.0,393.5,0.0,12.0,5.0,6.0,,0,3.4901744180694574
16,2015-01-22,SE CON MEN JAN/15,SE,2015-02-01,4.0,393.9975,0.0,12.0,4.0,7.0,,0,3.491437914312138
17,2015-01-23,,,,,,,,,,-0.25,,
18,2015-01-24,,,,,,,,,,-0.25,,
19,2015-01-25,,,,,,,,,,-0.25,,
20,2015-01-26,SE CON MEN JAN/15,SE,2015-02-01,1.0,395.0,0.0,12.0,3.0,8.0,,0,3.4939791151131216
21,2015-01-27,SE CON MEN JAN/15,SE,2015-02-01,10.5,395.2476190476191,0.0,12.0,2.0,9.0,,0,3.4946058023684947
22,2015-01-28,SE CON MEN JAN/15,SE,2015-02-01,2.0,395.0,0.0,12.0,1.0,10.0,,0,3.4939791151131216
23,2015-01-29,SE CON MEN JAN/15,SE,2015-02-01,1.0,394.0,0.0,12.0,0.0,11.0,,0,3.4914442595099335
24,2015-01-30,,,,,,,,,,-0.25,,
25,2015-01-31,,,,,,,,,,-0.25,,
26,2015-02-01,,,,,,,,,,-0.25,,
27,2015-02-02,,,,,,,,,,-0.25,,
28,2015-02-03,,,,,,,,,,-0.25,,
29,2015-02-04,,,,,,,,,,-0.25,,
30,2015-02-05,,,,,,,,,,-0.25,,
31,2015-02-06,,,,,,,,,,-0.25,,
32,2015-02-07,,,,,,,,,,-0.25,,
33,2015-02-08,,,,,,,,,,-0.25,,
34,2015-02-09,,,,,,,,,,-0.25,,
35,2015-02-10,,,,,,,,,,-0.25,,
36,2015-02-11,,,,,,,,,,-0.25,,
37,2015-02-12,,,,,,,,,,-0.25,,
38,2015-02-13,,,,,,,,,,-0.25,,
39,2015-02-14,,,,,,,,,,-0.25,,
40,2015-02-15,,,,,,,,,,-0.25,,
41,2015-02-16,,,,,,,,,,-0.25,,
42,2015-02-17,,,,,,,,,,-0.25,,
