,data,produto,submercado,expiracao,volume,VWAP,M,H,h,h_cresc,missing,ok,result
0,2015-01-06,SE CON MEN JAN/15,SE,2015-02-01,1.0,0.0,0.0,12.0,10.0,1.0,,4,
1,2015-01-07,,,,,,,,,,3.75,,
2,2015-01-08,,,,,,,,,,3.75,,
3,2015-01-09,SE CON MEN JAN/15,SE,2015-02-01,3.0,2.0,0.0,12.0,9.0,2.0,,4,
4,2015-01-10,,,,,,,,,,3.75,,
5,2015-01-11,,,,,,,,,,3.75,,
6,2015-01-12,SE CON MEN JAN/15,SE,2015-02-01,3.5,2.857142857142833,0.0,12.0,8.0,3.0,,4,
7,2015-01-13,,,,,,,,,,3.75,,
8,2015-01-14,,,,,,,,,,3.75,,
9,2015-01-15,SE CON MEN JAN/15,SE,2015-02-01,1.0,8.0,0.0,12.0,7.0,4.0,,4,
10,2015-01-16,,,,,,,,,,3.75,,
11,2015-01-17,,,,,,,,,,3.75,,
12,2015-01-18,,,,,,,,,,3.75,,
13,2015-01-19,,,,,,,,,,3.75,,
14,2015-01-20,SE CON MEN JAN/15,SE,2015-02-01,4.0,15.0,0.0,12.0,6.0,5.0,,4,
15,2015-01-21,SE CON MEN JAN/15,SE,2015-02-01,1.0,15.5,0.0,12.0,5.0,6.0,,4,0.03333333333333344
16,2015-01-22,SE CON MEN JAN/15,SE,2015-02-01,4.0,15.997500000000002,0.0,12.0,4.0,7.0,,4,0.032096774193548505
17,2015-01-23,,,,,,,,,,3.75,,
18,2015-01-24,,,,,,,,,,3.75,,
19,2015-01-25,,,,,,,,,,3.75,,
20,2015-01-26,SE CON MEN JAN/15,SE,2015-02-01,1.0,17.0,0.0,12.0,3.0,8.0,,4,
21,2015-01-27,SE CON MEN JAN/15,SE,2015-02-01,10.5,17.247619047619082,0.0,12.0,2.0,9.0,,4,0.01456582633053416
22,2015-01-28,SE CON MEN JAN/15,SE,2015-02-01,2.0,17.0,0.0,12.0,1.0,10.0,,4,-0.01435670900055419
23,2015-01-29,SE CON MEN JAN/15,SE,2015-02-01,1.0,16.0,0.0,12.0,0.0,11.0,,4,-0.05882352941176472
24,2015-01-30,,,,,,,,,,3.75,,
25,2015-01-31,,,,,,,,,,3.75,,
26,2015-02-01,,,,,,,,,,3.75,,
27,2015-02-02,,,,,,,,,,3.75,,
28,2015-02-03,,,,,,,,,,3.75,,
29,2015-02-04,,,,,,,,,,3.75,,
30,2015-02-05,,,,,,,,,,3.75,,
31,2015-02-06,,,,,,,,,,3.75,,
32,2015-02-07,,,,,,,,,,3.75,,
33,2015-02-08,,,,,,,,,,3.75,,
34,2015-02-09,,,,,,,,,,3.75,,
35,2015-02-10,,,,,,,,,,3.75,,
36,2015-02-11,,,,,,,,,,3.75,,
37,2015-02-12,,,,,,,,,,3.75,,
38,2015-02-13,,,,,,,,,,3.75,,
