,data,produto,submercado,expiracao,volume,VWAP,M,H,h,h_cresc,missing,ok
0,2015-04-24,SE CON MEN MAI/15,SE,2015-06-01,3.0,357.44444444444446,1.0,8.0,7.0,0.0,,9
1,2015-04-25,,,,,,,,,,8.75,
2,2015-04-26,,,,,,,,,,8.75,
3,2015-04-27,,,,,,,,,,8.75,
4,2015-04-28,,,,,,,,,,8.75,
5,2015-04-29,,,,,,,,,,8.75,
6,2015-04-30,,,,,,,,,,8.75,
7,2015-05-01,,,,,,,,,,8.75,
8,2015-05-02,,,,,,,,,,8.75,
9,2015-05-03,,,,,,,,,,8.75,
10,2015-05-04,SE CON MEN JUN/15,SE,2015-07-01,3.0,355.0,1.0,29.0,27.0,1.0,,9
11,2015-05-05,,,,,,,,,,8.75,
12,2015-05-06,,,,,,,,,,8.75,
13,2015-05-07,,,,,,,,,,8.75,
14,2015-05-08,,,,,,,,,,8.75,
15,2015-05-09,,,,,,,,,,8.75,
16,2015-05-10,,,,,,,,,,8.75,
17,2015-05-11,,,,,,,,,,8.75,
18,2015-05-12,,,,,,,,,,8.75,
19,2015-05-13,,,,,,,,,,8.75,
20,2015-05-14,SE CON MEN JUN/15,SE,2015-07-01,1.0,354.01,1.0,29.0,26.0,2.0,,9
21,2015-05-15,SE CON MEN JUN/15,SE,2015-07-01,1.5,362.6666666666667,1.0,29.0,25.0,3.0,,9
22,2015-05-16,,,,,,,,,,8.75,
23,2015-05-17,,,,,,,,,,8.75,
24,2015-05-18,SE CON MEN JUN/15,SE,2015-07-01,4.0,360.5,1.0,29.0,24.0,4.0,,9
25,2015-05-19,,,,,,,,,,8.75,
26,2015-05-20,,,,,,,,,,8.75,
27,2015-05-21,SE CON MEN JUN/15,SE,2015-07-01,24.0,360.3354166666666,1.0,29.0,23.0,5.0,,9
28,2015-05-22,SE CON MEN JUN/15,SE,2015-07-01,6.3,361.22222222222223,1.0,29.0,22.0,6.0,,9
29,2015-05-23,,,,,,,,,,8.75,
30,2015-05-24,,,,,,,,,,8.75,
31,2015-05-25,SE CON MEN JUN/15,SE,2015-07-01,2.0,362.0,1.0,29.0,21.0,7.0,,9
32,2015-05-26,SE CON MEN JUN/15,SE,2015-07-01,29.5,348.0600328048114,1.0,29.0,20.0,8.0,,9
33,2015-05-27,SE CON MEN JUN/15,SE,2015-07-01,1.1,347.4193548387097,1.0,29.0,19.0,9.0,,9
34,2015-05-28,SE CON MEN JUN/15,SE,2015-07-01,21.1,346.92631096162665,1.0,29.0,18.0,10.0,,9
35,2015-05-29,SE CON MEN JUN/15,SE,2015-07-01,2.0,346.8387096774194,1.0,29.0,17.0,11.0,,9
36,2015-05-30,,,,,,,,,,8.75,
37,2015-05-31,,,,,,,,,,8.75,
38,2015-06-01,,,,,,,,,,8.75,
39,2015-06-02,SE CON MEN JUL/15,SE,2015-08-01,6.0,352.1666666666667,1.0,30.0,28.0,1.0,,9
40,2015-06-03,SE CON MEN JUL/15,SE,2015-08-01,1.6,359.56249999999994,1.0,30.0,27.0,2.0,,9
41,2015-06-04,,,,,,,,,,8.75,
42,2015-06-05,,,,,,,,,,8.75,
43,2015-06-06,,,,,,,,,,8.75,
44,2015-06-07,,,,,,,,,,8.75,
45,2015-06-08,,,,,,,,,,8.75,
46,2015-06-09,SE CON MEN JUL/15,SE,2015-08-01,1.9,367.0,1.0,30.0,26.0,3.0,,9
47,2015-06-10,SE CON MEN JUL/15,SE,2015-08-01,2.0,363.625,1.0,30.0,25.0,4.0,,9
48,2015-06-11,SE CON MEN JUL/15,SE,2015-08-01,17.5,353.26,1.0,30.0,24.0,5.0,,9
49,2015-06-12,SE CON MEN JUL/15,SE,2015-08-01,14.0,345.67857142857144,1.0,30.0,23.0,6.0,,9
50,2015-06-13,,,,,,,,,,8.75,
51,2015-06-14,,,,,,,,,,8.75,
52,2015-06-15,SE CON MEN JUL/15,SE,2015-08-01,1.0,339.0,1.0,30.0,22.0,7.0,,9
53,2015-06-16,SE CON MEN JUL/15,SE,2015-08-01,4.0,336.0,1.0,30.0,21.0,8.0,,9
54,2015-06-17,SE CON MEN JUL/15,SE,2015-08-01,14.6,321.13013698630135,1.0,30.0,20.0,9.0,,9
55,2015-06-18,,,,,,,,,,8.75,
56,2015-06-19,SE CON MEN JUL/15,SE,2015-08-01,9.8,336.734693877551,1.0,30.0,19.0,10.0,,9
57,2015-06-20,,,,,,,,,,8.75,
58,2015-06-21,,,,,,,,,,8.75,
59,2015-06-22,SE CON MEN JUL/15,SE,2015-08-01,2.0,346.5,1.0,30.0,18.0,11.0,,9
60,2015-06-23,,,,,,,,,,8.75,
61,2015-06-24,SE CON MEN JUL/15,SE,2015-08-01,9.0,320.3407407407408,1.0,30.0,17.0,12.0,,9
62,2015-06-25,SE CON MEN JUL/15,SE,2015-08-01,9.5,318.4842105263158,1.0,30.0,16.0,13.0,,9
63,2015-06-26,SE CON MEN JUL/15,SE,2015-08-01,6.7,320.7587064676617,1.0,30.0,15.0,14.0,,9
64,2015-06-27,,,,,,,,,,8.75,
65,2015-06-28,,,,,,,,,,8.75,
66,2015-06-29,,,,,,,,,,8.75,
67,2015-06-30,SE CON MEN JUL/15,SE,2015-08-01,14.8,300.5693693693694,1.0,30.0,14.0,15.0,,9
68,2015-07-01,,,,,,,,,,8.75,
69,2015-07-02,,,,,,,,,,8.75,
70,2015-07-03,,,,,,,,,,8.75,
71,2015-07-04,,,,,,,,,,8.75,
72,2015-07-05,,,,,,,,,,8.75,
73,2015-07-06,,,,,,,,,,8.75,
74,2015-07-07,,,,,,,,,,8.75,
75,2015-07-08,,,,,,,,,,8.75,
76,2015-07-09,,,,,,,,,,8.75,
77,2015-07-10,,,,,,,,,,8.75,
78,2015-07-11,,,,,,,,,,8.75,
79,2015-07-12,,,,,,,,,,8.75,
80,2015-07-13,,,,,,,,,,8.75,
81,2015-07-14,,,,,,,,,,8.75,
