,data,produto,submercado,expiracao,volume,VWAP,M,H,h,h_cresc,missing,ok,result
0,2016-08-05,SE CON MEN NOV/16,SE,2016-12-01,1.0,200.0,3.0,24.0,23.0,0.0,,3,2.120263536200091
1,2016-08-06,,,,,,,,,,2.75,,
2,2016-08-07,,,,,,,,,,2.75,,
3,2016-08-08,,,,,,,,,,2.75,,
4,2016-08-09,,,,,,,,,,2.75,,
5,2016-08-10,,,,,,,,,,2.75,,
6,2016-08-11,,,,,,,,,,2.75,,
7,2016-08-12,,,,,,,,,,2.75,,
8,2016-08-13,,,,,,,,,,2.75,,
9,2016-08-14,,,,,,,,,,2.75,,
10,2016-08-15,,,,,,,,,,2.75,,
11,2016-08-16,,,,,,,,,,2.75,,
12,2016-08-17,,,,,,,,,,2.75,,
13,2016-08-18,,,,,,,,,,2.75,,
14,2016-08-19,,,,,,,,,,2.75,,
15,2016-08-20,,,,,,,,,,2.75,,
16,2016-08-21,,,,,,,,,,2.75,,
17,2016-08-22,,,,,,,,,,2.75,,
18,2016-08-23,,,,,,,,,,2.75,,
19,2016-08-24,,,,,,,,,,2.75,,
20,2016-08-25,,,,,,,,,,2.75,,
21,2016-08-26,,,,,,,,,,2.75,,
22,2016-08-27,,,,,,,,,,2.75,,
23,2016-08-28,,,,,,,,,,2.75,,
24,2016-08-29,,,,,,,,,,2.75,,
25,2016-08-30,,,,,,,,,,2.75,,
26,2016-08-31,,,,,,,,,,2.75,,
27,2016-09-01,,,,,,,,,,2.75,,
28,2016-09-02,,,,,,,,,,2.75,,
29,2016-09-03,,,,,,,,,,2.75,,
30,2016-09-04,,,,,,,,,,2.75,,
31,2016-09-05,,,,,,,,,,2.75,,
32,2016-09-06,,,,,,,,,,2.75,,
33,2016-09-07,,,,,,,,,,2.75,,
34,2016-09-08,,,,,,,,,,2.75,,
35,2016-09-09,,,,,,,,,,2.75,,
36,2016-09-10,,,,,,,,,,2.75,,
37,2016-09-11,,,,,,,,,,2.75,,
38,2016-09-12,,,,,,,,,,2.75,,
39,2016-09-13,,,,,,,,,,2.75,,
40,2016-09-14,,,,,,,,,,2.75,,
41,2016-09-15,,,,,,,,,,2.75,,
42,2016-09-16,,,,,,,,,,2.75,,
43,2016-09-17,,,,,,,,,,2.75,,
44,2016-09-18,,,,,,,,,,2.75,,
45,2016-09-19,,,,,,,,,,2.75,,
46,2016-09-20,,,,,,,,,,2.75,,
47,2016-09-21,,,,,,,,,,2.75,,
48,2016-09-22,,,,,,,,,,2.75,,
49,2016-09-23,,,,,,,,,,2.75,,
50,2016-09-24,,,,,,,,,,2.75,,
51,2016-09-25,,,,,,,,,,2.75,,
52,2016-09-26,,,,,,,,,,2.75,,
53,2016-09-27,,,,,,,,,,2.75,,
54,2016-09-28,,,,,,,,,,2.75,,
55,2016-09-29,,,,,,,,,,2.75,,
56,2016-09-30,,,,,,,,,,2.75,,
57,2016-10-01,,,,,,,,,,2.75,,
58,2016-10-02,,,,,,,,,,2.75,,
59,2016-10-03,,,,,,,,,,2.75,,
60,2016-10-04,,,,,,,,,,2.75,,
61,2016-10-05,,,,,,,,,,2.75,,
62,2016-10-06,,,,,,,,,,2.75,,
63,2016-10-07,,,,,,,,,,2.75,,
64,2016-10-08,,,,,,,,,,2.75,,
65,2016-10-09,,,,,,,,,,2.75,,
66,2016-10-10,,,,,,,,,,2.75,,
67,2016-10-11,,,,,,,,,,2.75,,
68,2016-10-12,,,,,,,,,,2.75,,
69,2016-10-13,,,,,,,,,,2.75,,
70,2016-10-14,,,,,,,,,,2.75,,
71,2016-10-15,,,,,,,,,,2.75,,
72,2016-10-16,,,,,,,,,,2.75,,
73,2016-10-17,,,,,,,,,,2.75,,
74,2016-10-18,,,,,,,,,,2.75,,
75,2016-10-19,,,,,,,,,,2.75,,
76,2016-10-20,,,,,,,,,,2.75,,
77,2016-10-21,,,,,,,,,,2.75,,
78,2016-10-22,,,,,,,,,,2.75,,
79,2016-10-23,,,,,,,,,,2.75,,
80,2016-10-24,,,,,,,,,,2.75,,
81,2016-10-25,,,,,,,,,,2.75,,
82,2016-10-26,,,,,,,,,,2.75,,
83,2016-10-27,,,,,,,,,,2.75,,
84,2016-10-28,,,,,,,,,,2.75,,
85,2016-10-29,,,,,,,,,,2.75,,
86,2016-10-30,,,,,,,,,,2.75,,
87,2016-10-31,,,,,,,,,,2.75,,
88,2016-11-01,,,,,,,,,,2.75,,
89,2016-11-02,,,,,,,,,,2.75,,
90,2016-11-03,,,,,,,,,,2.75,,
91,2016-11-04,,,,,,,,,,2.75,,
92,2016-11-05,,,,,,,,,,2.75,,
93,2016-11-06,,,,,,,,,,2.75,,
94,2016-11-07,,,,,,,,,,2.75,,
95,2016-11-08,,,,,,,,,,2.75,,
96,2016-11-09,,,,,,,,,,2.75,,
97,2016-11-10,,,,,,,,,,2.75,,
98,2016-11-11,,,,,,,,,,2.75,,
99,2016-11-12,,,,,,,,,,2.75,,
100,2016-11-13,,,,,,,,,,2.75,,
101,2016-11-14,,,,,,,,,,2.75,,
102,2016-11-15,,,,,,,,,,2.75,,
103,2016-11-16,,,,,,,,,,2.75,,
104,2016-11-17,,,,,,,,,,2.75,,
105,2016-11-18,,,,,,,,,,2.75,,
106,2016-11-19,,,,,,,,,,2.75,,
107,2016-11-20,,,,,,,,,,2.75,,
108,2016-11-21,,,,,,,,,,2.75,,
109,2016-11-22,,,,,,,,,,2.75,,
110,2016-11-23,,,,,,,,,,2.75,,
111,2016-11-24,,,,,,,,,,2.75,,
112,2016-11-25,,,,,,,,,,2.75,,
113,2016-11-26,,,,,,,,,,2.75,,
114,2016-11-27,,,,,,,,,,2.75,,
115,2016-11-28,,,,,,,,,,2.75,,
116,2016-11-29,,,,,,,,,,2.75,,
117,2016-11-30,,,,,,,,,,2.75,,
118,2016-12-01,,,,,,,,,,2.75,,
119,2016-12-02,,,,,,,,,,2.75,,
120,2016-12-03,,,,,,,,,,2.75,,
121,2016-12-04,,,,,,,,,,2.75,,
122,2016-12-05,,,,,,,,,,2.75,,
123,2016-12-06,,,,,,,,,,2.75,,
124,2016-12-07,,,,,,,,,,2.75,,
125,2016-12-08,,,,,,,,,,2.75,,
126,2016-12-09,,,,,,,,,,2.75,,
127,2016-12-10,,,,,,,,,,2.75,,
128,2016-12-11,,,,,,,,,,2.75,,
129,2016-12-12,,,,,,,,,,2.75,,
130,2016-12-13,,,,,,,,,,2.75,,
131,2016-12-14,,,,,,,,,,2.75,,
132,2016-12-15,,,,,,,,,,2.75,,
133,2016-12-16,,,,,,,,,,2.75,,
134,2016-12-17,,,,,,,,,,2.75,,
135,2016-12-18,,,,,,,,,,2.75,,
136,2016-12-19,,,,,,,,,,2.75,,
137,2016-12-20,,,,,,,,,,2.75,,
138,2016-12-21,,,,,,,,,,2.75,,
139,2016-12-22,,,,,,,,,,2.75,,
140,2016-12-23,,,,,,,,,,2.75,,
141,2016-12-24,,,,,,,,,,2.75,,
142,2016-12-25,,,,,,,,,,2.75,,
143,2016-12-26,,,,,,,,,,2.75,,
144,2016-12-27,,,,,,,,,,2.75,,
145,2016-12-28,,,,,,,,,,2.75,,
146,2016-12-29,,,,,,,,,,2.75,,
147,2016-12-30,,,,,,,,,,2.75,,
148,2016-12-31,,,,,,,,,,2.75,,
149,2017-01-01,,,,,,,,,,2.75,,
150,2017-01-02,,,,,,,,,,2.75,,
151,2017-01-03,,,,,,,,,,2.75,,
152,2017-01-04,,,,,,,,,,2.75,,
153,2017-01-05,,,,,,,,,,2.75,,
154,2017-01-06,,,,,,,,,,2.75,,
155,2017-01-07,,,,,,,,,,2.75,,
156,2017-01-08,,,,,,,,,,2.75,,
157,2017-01-09,,,,,,,,,,2.75,,
158,2017-01-10,,,,,,,,,,2.75,,
159,2017-01-11,,,,,,,,,,2.75,,
160,2017-01-12,SE CON MEN ABR/17,SE,2017-05-01,4.0,133.1,3.0,40.0,39.0,0.0,,3,1.2022212712871299
161,2017-01-13,,,,,,,,,,2.75,,
162,2017-01-14,,,,,,,,,,2.75,,
163,2017-01-15,,,,,,,,,,2.75,,
164,2017-01-16,,,,,,,,,,2.75,,
165,2017-01-17,,,,,,,,,,2.75,,
166,2017-01-18,,,,,,,,,,2.75,,
167,2017-01-19,SE CON MEN ABR/17,SE,2017-05-01,2.0,126.0,3.0,40.0,38.0,1.0,,3,1.1474024528375417
168,2017-01-20,,,,,,,,,,2.75,,
169,2017-01-21,,,,,,,,,,2.75,,
170,2017-01-22,,,,,,,,,,2.75,,
171,2017-01-23,,,,,,,,,,2.75,,
172,2017-01-24,,,,,,,,,,2.75,,
173,2017-01-25,,,,,,,,,,2.75,,
174,2017-01-26,,,,,,,,,,2.75,,
175,2017-01-27,,,,,,,,,,2.75,,
176,2017-01-28,,,,,,,,,,2.75,,
177,2017-01-29,,,,,,,,,,2.75,,
178,2017-01-30,SE CON MEN ABR/17,SE,2017-05-01,3.0,121.33333333333333,3.0,40.0,37.0,2.0,,3,1.1096621248546943
179,2017-01-31,SE CON MEN ABR/17,SE,2017-05-01,1.0,121.0,3.0,40.0,36.0,3.0,,3,1.106911091482805
180,2017-02-01,,,,,,,,,,2.75,,
181,2017-02-02,,,,,,,,,,2.75,,
182,2017-02-03,,,,,,,,,,2.75,,
183,2017-02-04,,,,,,,,,,2.75,,
184,2017-02-05,,,,,,,,,,2.75,,
185,2017-02-06,,,,,,,,,,2.75,,
186,2017-02-07,,,,,,,,,,2.75,,
187,2017-02-08,,,,,,,,,,2.75,,
188,2017-02-09,,,,,,,,,,2.75,,
189,2017-02-10,,,,,,,,,,2.75,,
190,2017-02-11,,,,,,,,,,2.75,,
191,2017-02-12,,,,,,,,,,2.75,,
192,2017-02-13,,,,,,,,,,2.75,,
193,2017-02-14,,,,,,,,,,2.75,,
194,2017-02-15,,,,,,,,,,2.75,,
195,2017-02-16,,,,,,,,,,2.75,,
196,2017-02-17,,,,,,,,,,2.75,,
197,2017-02-18,,,,,,,,,,2.75,,
198,2017-02-19,,,,,,,,,,2.75,,
199,2017-02-20,SE CON MEN MAI/17,SE,2017-06-01,2.0,205.0,3.0,26.0,25.0,0.0,,3,2.064913441116926
200,2017-02-21,,,,,,,,,,2.75,,
201,2017-02-22,,,,,,,,,,2.75,,
202,2017-02-23,,,,,,,,,,2.75,,
203,2017-02-24,,,,,,,,,,2.75,,
204,2017-02-25,,,,,,,,,,2.75,,
205,2017-02-26,,,,,,,,,,2.75,,
206,2017-02-27,,,,,,,,,,2.75,,
207,2017-02-28,,,,,,,,,,2.75,,
208,2017-03-01,,,,,,,,,,2.75,,
209,2017-03-02,,,,,,,,,,2.75,,
210,2017-03-03,,,,,,,,,,2.75,,
211,2017-03-04,,,,,,,,,,2.75,,
212,2017-03-05,,,,,,,,,,2.75,,
213,2017-03-06,,,,,,,,,,2.75,,
214,2017-03-07,,,,,,,,,,2.75,,
215,2017-03-08,,,,,,,,,,2.75,,
216,2017-03-09,,,,,,,,,,2.75,,
217,2017-03-10,SE CON MEN JUN/17,SE,2017-07-01,1.0,300.0,3.0,40.0,38.0,1.0,,3,2.0149030205422647
218,2017-03-11,,,,,,,,,,2.75,,
219,2017-03-12,,,,,,,,,,2.75,,
220,2017-03-13,,,,,,,,,,2.75,,
221,2017-03-14,,,,,,,,,,2.75,,
222,2017-03-15,,,,,,,,,,2.75,,
223,2017-03-16,SE CON MEN JUN/17,SE,2017-07-01,1.0,260.0,3.0,40.0,37.0,2.0,,3,1.8718021769015913
224,2017-03-17,,,,,,,,,,2.75,,
225,2017-03-18,,,,,,,,,,2.75,,
226,2017-03-19,,,,,,,,,,2.75,,
227,2017-03-20,,,,,,,,,,2.75,,
