,data,produto,submercado,expiracao,volume,VWAP,M,H,h,h_cresc,missing,ok,result
0,2015-04-24,SE CON MEN MAI/15,SE,2015-06-01,3.0,0.0,1.0,8.0,7.0,0.0,,5,
1,2015-04-25,,,,,,,,,,4.75,,
2,2015-04-26,,,,,,,,,,4.75,,
3,2015-04-27,,,,,,,,,,4.75,,
4,2015-04-28,,,,,,,,,,4.75,,
5,2015-04-29,,,,,,,,,,4.75,,
6,2015-04-30,,,,,,,,,,4.75,,
7,2015-05-01,,,,,,,,,,4.75,,
8,2015-05-02,,,,,,,,,,4.75,,
9,2015-05-03,,,,,,,,,,4.75,,
10,2015-05-04,SE CON MEN JUN/15,SE,2015-07-01,3.0,3.0,1.0,29.0,27.0,1.0,,5,
11,2015-05-05,,,,,,,,,,4.75,,
12,2015-05-06,,,,,,,,,,4.75,,
13,2015-05-07,,,,,,,,,,4.75,,
14,2015-05-08,,,,,,,,,,4.75,,
15,2015-05-09,,,,,,,,,,4.75,,
16,2015-05-10,,,,,,,,,,4.75,,
17,2015-05-11,,,,,,,,,,4.75,,
18,2015-05-12,,,,,,,,,,4.75,,
19,2015-05-13,,,,,,,,,,4.75,,
20,2015-05-14,SE CON MEN JUN/15,SE,2015-07-01,1.0,2.009999999999991,1.0,29.0,26.0,2.0,,5,
21,2015-05-15,SE CON MEN JUN/15,SE,2015-07-01,1.5,10.666666666666686,1.0,29.0,25.0,3.0,,5,0.29287639584135466
22,2015-05-16,,,,,,,,,,4.75,,
23,2015-05-17,,,,,,,,,,4.75,,
24,2015-05-18,SE CON MEN JUN/15,SE,2015-07-01,4.0,8.5,1.0,29.0,24.0,4.0,,5,
25,2015-05-19,,,,,,,,,,4.75,,
26,2015-05-20,,,,,,,,,,4.75,,
27,2015-05-21,SE CON MEN JUN/15,SE,2015-07-01,24.0,8.335416666666617,1.0,29.0,23.0,5.0,,5,
28,2015-05-22,SE CON MEN JUN/15,SE,2015-07-01,6.3,9.222222222222229,1.0,29.0,22.0,6.0,,5,3.0
29,2015-05-23,,,,,,,,,,4.75,,
