,data,produto,submercado,expiracao,volume,VWAP,M,H,h,h_cresc,missing,ok,result
0,2015-01-06,SE CON MEN JAN/15,SE,2015-02-01,1.0,378.0,0.0,12.0,10.0,1.0,,8,
1,2015-01-07,,,,,,,,,,7.75,,
2,2015-01-08,,,,,,,,,,7.75,,
3,2015-01-09,SE CON MEN JAN/15,SE,2015-02-01,3.0,380.0,0.0,12.0,9.0,2.0,,8,
4,2015-01-10,,,,,,,,,,7.75,,
5,2015-01-11,,,,,,,,,,7.75,,
6,2015-01-12,SE CON MEN JAN/15,SE,2015-02-01,3.5,380.85714285714283,0.0,12.0,8.0,3.0,,8,
7,2015-01-13,,,,,,,,,,7.75,,
8,2015-01-14,,,,,,,,,,7.75,,
9,2015-01-15,SE CON MEN JAN/15,SE,2015-02-01,1.0,386.0,0.0,12.0,7.0,4.0,,8,
10,2015-01-16,,,,,,,,,,7.75,,
11,2015-01-17,,,,,,,,,,7.75,,
12,2015-01-18,,,,,,,,,,7.75,,
13,2015-01-19,,,,,,,,,,7.75,,
14,2015-01-20,SE CON MEN JAN/15,SE,2015-02-01,4.0,393.0,0.0,12.0,6.0,5.0,,8,
15,2015-01-21,SE CON MEN JAN/15,SE,2015-02-01,1.0,393.5,0.0,12.0,5.0,6.0,,8,3.0
16,2015-01-22,SE CON MEN JAN/15,SE,2015-02-01,4.0,393.9975,0.0,12.0,4.0,7.0,,8,3.0
17,2015-01-23,,,,,,,,,,7.75,,
18,2015-01-24,,,,,,,,,,7.75,,
19,2015-01-25,,,,,,,,,,7.75,,
20,2015-01-26,SE CON MEN JAN/15,SE,2015-02-01,1.0,395.0,0.0,12.0,3.0,8.0,,8,
21,2015-01-27,SE CON MEN JAN/15,SE,2015-02-01,10.5,395.2476190476191,0.0,12.0,2.0,9.0,,8,3.0
22,2015-01-28,SE CON MEN JAN/15,SE,2015-02-01,2.0,395.0,0.0,12.0,1.0,10.0,,8,3.0
23,2015-01-29,SE CON MEN JAN/15,SE,2015-02-01,1.0,394.0,0.0,12.0,0.0,11.0,,8,3.0
24,2015-01-30,,,,,,,,,,7.75,,
25,2015-01-31,,,,,,,,,,7.75,,
26,2015-02-01,,,,,,,,,,7.75,,
27,2015-02-02,,,,,,,,,,7.75,,
28,2015-02-03,,,,,,,,,,7.75,,
29,2015-02-04,,,,,,,,,,7.75,,
30,2015-02-05,,,,,,,,,,7.75,,
31,2015-02-06,,,,,,,,,,7.75,,
32,2015-02-07,,,,,,,,,,7.75,,
33,2015-02-08,,,,,,,,,,7.75,,
34,2015-02-09,,,,,,,,,,7.75,,
35,2015-02-10,,,,,,,,,,7.75,,
36,2015-02-11,,,,,,,,,,7.75,,
37,2015-02-12,,,,,,,,,,7.75,,
38,2015-02-13,,,,,,,,,,7.75,,
39,2015-02-14,,,,,,,,,,7.75,,
40,2015-02-15,,,,,,,,,,7.75,,
41,2015-02-16,,,,,,,,,,7.75,,
42,2015-02-17,,,,,,,,,,7.75,,
43,2015-02-18,,,,,,,,,,7.75,,
44,2015-02-19,,,,,,,,,,7.75,,
45,2015-02-20,,,,,,,,,,7.75,,
46,2015-02-21,,,,,,,,,,7.75,,
47,2015-02-22,,,,,,,,,,7.75,,
48,2015-02-23,,,,,,,,,,7.75,,
49,2015-02-24,,,,,,,,,,7.75,,
50,2015-02-25,,,,,,,,,,7.75,,
51,2015-02-26,,,,,,,,,,7.75,,
52,2015-02-27,,,,,,,,,,7.75,,
53,2015-02-28,,,,,,,,,,7.75,,
54,2015-03-01,,,,,,,,,,7.75,,
55,2015-03-02,,,,,,,,,,7.75,,
56,2015-03-03,,,,,,,,,,7.75,,
57,2015-03-04,,,,,,,,,,7.75,,
58,2015-03-05,,,,,,,,,,7.75,,
59,2015-03-06,,,,,,,,,,7.75,,
60,2015-03-07,,,,,,,,,,7.75,,
