,strat_id,init_cash,buy_prop,sell_prop,fractional,slippage,single_position,commission,stop_loss,stop_trail,take_profit,execution_type,channel,symbol,allow_short,short_max,add_cash_amount,add_cash_freq,invest_div,fast_period,slow_period,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
0,1,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,32,8.91676420717426,0.002604195153964445,0.9275642877145345,92.75642877145344,1,0.8262526891162516,6211802.712826729,"AutoOrderedDict([('len', 397), ('drawdown', 46.691950115349385), ('moneydown', 70532419.2717526)])",46.691950115349385,397,1.1979268363041955,745492432.8,745592432.801467,65,0.4307692307692308,28,36,12290993.459806126,12290.993459806126,-1687882.272931043,-1687.8822729310432,159272048.49600282,159272.04849600283,-16041650.806095354,-16041.650806095353
1,3,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,36,8.898978412069201,0.002599000704459463,0.9250427543090518,92.50427543090518,1,0.8262451098201647,6102241.123929262,"AutoOrderedDict([('len', 385), ('drawdown', 46.70280299871447), ('moneydown', 71615479.56601298)])",46.70280299871447,385,1.2205896226611244,732348710.82,732448710.8154337,62,0.4032258064516129,25,36,13672359.396032104,13672.359396032103,-1572027.5376219172,-1572.0275376219172,158786833.85032994,158786.83385032995,-16367603.373186026,-16367.603373186026
2,0,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,30,8.864088870032349,0.002588811001761784,0.920105960819988,92.0105960819988,1,0.8262526513394644,5893062.210608959,"AutoOrderedDict([('len', 356), ('drawdown', 46.69928527196706), ('moneydown', 67816984.95875317)])",46.69928527196706,356,1.190402476042455,707234568.72,707334568.7150564,67,0.4626865671641791,31,35,10480578.460945982,10480.578460945982,-1601714.2981104616,-1601.7142981104616,140544775.02231306,140544.77502231306,-15225873.108437173,-15225.873108437174
3,2,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,34,8.712440323609515,0.002544521122549508,0.898794712205293,89.8794712205293,1,0.8262527763491073,5063851.544882894,"AutoOrderedDict([('len', 397), ('drawdown', 46.70280299871447), ('moneydown', 58006012.50525743)])",46.70280299871447,397,1.2124529235479027,607705683.04,607805683.0372703,63,0.4126984126984127,26,36,10849353.709303098,10849.353709303097,-1419097.6957952343,-1419.0976957952341,128817881.7189451,128817.8817189451,-13878682.891389603,-13878.682891389602
4,4,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,38,8.511454652376932,0.0024858220363250384,0.870914134038109,87.0914134038109,1,0.8262451617343739,4141807.9886211157,"AutoOrderedDict([('len', 397), ('drawdown', 46.692368759868586), ('moneydown', 49013495.00324908)])",46.692368759868586,397,1.1933795565778833,497038947.46,497138947.4625858,58,0.41379310344827586,24,33,9616497.124075592,9616.497124075591,-1128541.0461747309,-1128.541046174731,106925585.9213445,106925.58592134451,-11424994.358900728,-11424.994358900727
5,5,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,40,8.28213133848991,0.002418846769418782,0.8396022612559242,83.96022612559241,1,0.8262451569847791,3293033.19906044,"AutoOrderedDict([('len', 667), ('drawdown', 46.693505941556005), ('moneydown', 39178935.95172781)])",46.693505941556005,667,1.1832477771600365,395160976.01,395260976.0102309,56,0.4642857142857143,26,29,6860263.452409832,6860.263452409832,-844759.4495806711,-844.7594495806711,84655646.94305663,84655.64694305662,-9012371.743273601,-9012.371743273601
6,6,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,42,8.227321461073734,0.0024028392117621884,0.8321964286152975,83.21964286152975,1,0.8262449929476473,3117399.0223021507,"AutoOrderedDict([('len', 415), ('drawdown', 46.695269888500064), ('moneydown', 42369359.83168745)])",46.695269888500064,415,1.1896211087795587,374079776.62,374179776.6229941,54,0.42592592592592593,23,30,6850163.080503298,6850.163080503297,-396559.64268451364,-396.5596426845136,76899267.75318515,76899.26775318515,-2216662.9979999913,-2216.6629979999916
7,7,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,44,8.184275556901905,0.0023902673939549955,0.8264010356480126,82.64010356480127,1,0.8262451428347288,2986055.501527071,"AutoOrderedDict([('len', 397), ('drawdown', 46.68946659610015), ('moneydown', 40584006.72552869)])",46.68946659610015,397,1.2006832810877734,358314616.86,358414616.8561151,49,0.46938775510204084,23,25,6549082.27228305,6549.08227228305,-444523.5084519855,-444.52350845198544,72931803.15963118,72931.80315963118,-2145858.0479999916,-2145.858047999992
8,8,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,46,8.103462767105045,0.002366665527776006,0.8155704448132736,81.55704448132735,1,0.8262450641436883,2754236.8543433547,"AutoOrderedDict([('len', 422), ('drawdown', 46.688078292820045), ('moneydown', 37433320.85920285)])",46.688078292820045,422,1.18457414536965,330489582.54,330589582.5363137,47,0.46808510638297873,22,24,6378737.064276451,6378.737064276452,-485636.4897281625,-485.63648972816253,67269838.75639336,67269.83875639336,-2004472.0559999922,-2004.472055999992
9,9,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,1,48,8.06427327840023,0.0023552199995327773,0.8103413884251868,81.03413884251867,1,0.8262527379624324,2648412.162823677,"AutoOrderedDict([('len', 423), ('drawdown', 46.69826707470836), ('moneydown', 35132551.08093843)])",46.69826707470836,423,1.1740048018582414,317784524.21,317884524.20659184,46,0.5,23,22,5673105.207331625,5673.105207331625,-441706.90936871467,-441.70690936871466,61196319.86969141,61196.31986969141,-1918055.4779999927,-1918.0554779999927
