,datetime,Soma_Volumes,close,M,produto,submercado,expiracao,H,h,h_cresc
0,2015-01-06,1.0,378.0,0,SE CON MEN JAN/15,SE,2015-02-01,12,10,1
1,2015-01-09,3.0,380.0,0,SE CON MEN JAN/15,SE,2015-02-01,12,9,2
2,2015-01-12,3.5,380.8571428571428,0,SE CON MEN JAN/15,SE,2015-02-01,12,8,3
3,2015-01-15,1.0,386.0,0,SE CON MEN JAN/15,SE,2015-02-01,12,7,4
4,2015-01-20,4.0,393.0,0,SE CON MEN JAN/15,SE,2015-02-01,12,6,5
5,2015-01-21,1.0,393.5,0,SE CON MEN JAN/15,SE,2015-02-01,12,5,6
6,2015-01-22,4.0,393.9975,0,SE CON MEN JAN/15,SE,2015-02-01,12,4,7
7,2015-01-26,1.0,395.0,0,SE CON MEN JAN/15,SE,2015-02-01,12,3,8
8,2015-01-27,10.5,395.2476190476191,0,SE CON MEN JAN/15,SE,2015-02-01,12,2,9
9,2015-01-28,2.0,395.0,0,SE CON MEN JAN/15,SE,2015-02-01,12,1,10
10,2015-01-29,1.0,394.0,0,SE CON MEN JAN/15,SE,2015-02-01,12,0,11
11,2015-12-10,1.0,120.0,1,SE CON MEN JAN/16,SE,2016-02-01,12,11,0
12,2015-12-23,5.0,95.04,1,SE CON MEN JAN/16,SE,2016-02-01,12,10,1
13,2015-12-29,7.899999999999999,85.25316455696203,1,SE CON MEN JAN/16,SE,2016-02-01,12,9,2
14,2016-01-05,3.0,70.83333333333333,0,SE CON MEN JAN/16,SE,2016-02-01,12,8,3
15,2016-01-06,4.0,67.4,0,SE CON MEN JAN/16,SE,2016-02-01,12,7,4
16,2016-01-07,1.5,67.0,0,SE CON MEN JAN/16,SE,2016-02-01,12,6,5
17,2016-01-08,2.0,61.5,0,SE CON MEN JAN/16,SE,2016-02-01,12,5,6
18,2016-01-12,5.0,58.7,0,SE CON MEN JAN/16,SE,2016-02-01,12,4,7
19,2016-01-13,3.0,53.66666666666666,0,SE CON MEN JAN/16,SE,2016-02-01,12,3,8
20,2016-01-14,10.4,47.74038461538461,0,SE CON MEN JAN/16,SE,2016-02-01,12,2,9
21,2016-01-15,4.0,45.0,0,SE CON MEN JAN/16,SE,2016-02-01,12,1,10
22,2016-01-21,1.0,42.0,0,SE CON MEN JAN/16,SE,2016-02-01,12,0,11
23,2016-11-18,1.0,130.0,2,SE CON MEN JAN/17,SE,2017-02-01,8,7,0
24,2016-11-21,2.0,132.0,2,SE CON MEN JAN/17,SE,2017-02-01,8,6,1
25,2016-11-22,2.0,138.0,2,SE CON MEN JAN/17,SE,2017-02-01,8,5,2
26,2016-11-29,5.0,114.6,2,SE CON MEN JAN/17,SE,2017-02-01,8,4,3
27,2017-01-06,2.0,125.0,0,SE CON MEN JAN/17,SE,2017-02-01,8,3,4
28,2017-01-18,1.0,122.0,0,SE CON MEN JAN/17,SE,2017-02-01,8,2,5
29,2017-01-27,2.0,123.0,0,SE CON MEN JAN/17,SE,2017-02-01,8,1,6
30,2017-01-30,5.0,123.0,0,SE CON MEN JAN/17,SE,2017-02-01,8,0,7
31,2017-11-14,3.0,171.33333333333334,2,SE CON MEN JAN/18,SE,2018-02-01,37,36,0
32,2017-11-17,10.0,149.201,2,SE CON MEN JAN/18,SE,2018-02-01,37,35,1
33,2017-11-27,9.0,133.61111111111111,2,SE CON MEN JAN/18,SE,2018-02-01,37,34,2
34,2017-11-28,2.1,127.38142857142856,2,SE CON MEN JAN/18,SE,2018-02-01,37,33,3
35,2017-11-29,1.0,130.0,2,SE CON MEN JAN/18,SE,2018-02-01,37,32,4
36,2017-11-30,12.0,139.91666666666666,2,SE CON MEN JAN/18,SE,2018-02-01,37,31,5
37,2017-12-01,17.4,140.08045977011497,1,SE CON MEN JAN/18,SE,2018-02-01,37,30,6
38,2017-12-04,1.0,145.0,1,SE CON MEN JAN/18,SE,2018-02-01,37,29,7
39,2017-12-06,2.0,149.5,1,SE CON MEN JAN/18,SE,2018-02-01,37,28,8
40,2017-12-11,4.0,180.5,1,SE CON MEN JAN/18,SE,2018-02-01,37,27,9
41,2017-12-12,4.5,178.66666666666666,1,SE CON MEN JAN/18,SE,2018-02-01,37,26,10
42,2017-12-14,2.0,174.0,1,SE CON MEN JAN/18,SE,2018-02-01,37,25,11
43,2017-12-15,4.0,185.5,1,SE CON MEN JAN/18,SE,2018-02-01,37,24,12
44,2017-12-18,23.0,179.15217391304347,1,SE CON MEN JAN/18,SE,2018-02-01,37,23,13
45,2017-12-19,11.0,161.45727272727274,1,SE CON MEN JAN/18,SE,2018-02-01,37,22,14
46,2017-12-20,5.0,171.2,1,SE CON MEN JAN/18,SE,2018-02-01,37,21,15
47,2017-12-21,4.0,173.5,1,SE CON MEN JAN/18,SE,2018-02-01,37,20,16
48,2017-12-26,31.7,193.79495268138805,1,SE CON MEN JAN/18,SE,2018-02-01,37,19,17
49,2017-12-27,8.0,222.875,1,SE CON MEN JAN/18,SE,2018-02-01,37,18,18
50,2017-12-28,8.1,220.7407407407408,1,SE CON MEN JAN/18,SE,2018-02-01,37,17,19
51,2017-12-29,23.4,188.2692307692308,1,SE CON MEN JAN/18,SE,2018-02-01,37,16,20
52,2018-01-02,62.0,183.1258064516129,0,SE CON MEN JAN/18,SE,2018-02-01,37,15,21
53,2018-01-03,53.0,172.22283018867924,0,SE CON MEN JAN/18,SE,2018-02-01,37,14,22
54,2018-01-04,68.7,172.91994177583695,0,SE CON MEN JAN/18,SE,2018-02-01,37,13,23
55,2018-01-05,51.0,171.2294117647059,0,SE CON MEN JAN/18,SE,2018-02-01,37,12,24
56,2018-01-08,36.0,171.36111111111111,0,SE CON MEN JAN/18,SE,2018-02-01,37,11,25
57,2018-01-09,24.0,166.27166666666668,0,SE CON MEN JAN/18,SE,2018-02-01,37,10,26
58,2018-01-10,24.0,165.76250000000002,0,SE CON MEN JAN/18,SE,2018-02-01,37,9,27
59,2018-01-11,96.0,164.26302083333334,0,SE CON MEN JAN/18,SE,2018-02-01,37,8,28
60,2018-01-12,11.0,158.0,0,SE CON MEN JAN/18,SE,2018-02-01,37,7,29
61,2018-01-15,5.0,154.4,0,SE CON MEN JAN/18,SE,2018-02-01,37,6,30
62,2018-01-16,2.0,153.0,0,SE CON MEN JAN/18,SE,2018-02-01,37,5,31
63,2018-01-17,12.0,158.71,0,SE CON MEN JAN/18,SE,2018-02-01,37,4,32
64,2018-01-18,16.0,165.125,0,SE CON MEN JAN/18,SE,2018-02-01,37,3,33
65,2018-01-19,5.0,168.8,0,SE CON MEN JAN/18,SE,2018-02-01,37,2,34
66,2018-01-22,13.0,170.0,0,SE CON MEN JAN/18,SE,2018-02-01,37,1,35
67,2018-01-24,20.6,172.68446601941747,0,SE CON MEN JAN/18,SE,2018-02-01,37,0,36
68,2018-08-01,8.0,202.25,5,SE CON MEN JAN/19,SE,2019-02-01,92,91,0
69,2018-08-08,20.0,197.5,5,SE CON MEN JAN/19,SE,2019-02-01,92,90,1
70,2018-08-30,16.32,190.0575980392157,5,SE CON MEN JAN/19,SE,2019-02-01,92,89,2
71,2018-09-04,9.0,197.0,4,SE CON MEN JAN/19,SE,2019-02-01,92,88,3
72,2018-09-11,23.0,180.80434782608697,4,SE CON MEN JAN/19,SE,2019-02-01,92,87,4
73,2018-09-12,38.0,174.3684210526316,4,SE CON MEN JAN/19,SE,2019-02-01,92,86,5
74,2018-09-13,1.0,175.0,4,SE CON MEN JAN/19,SE,2019-02-01,92,85,6
75,2018-09-14,39.0,168.23333333333335,4,SE CON MEN JAN/19,SE,2019-02-01,92,84,7
76,2018-09-17,61.33,158.6825370944073,4,SE CON MEN JAN/19,SE,2019-02-01,92,83,8
77,2018-09-18,13.0,170.46153846153845,4,SE CON MEN JAN/19,SE,2019-02-01,92,82,9
78,2018-09-19,4.0,172.0,4,SE CON MEN JAN/19,SE,2019-02-01,92,81,10
79,2018-09-20,24.0,162.625,4,SE CON MEN JAN/19,SE,2019-02-01,92,80,11
80,2018-09-25,2.0,177.5,4,SE CON MEN JAN/19,SE,2019-02-01,92,79,12
81,2018-09-26,9.0,183.0,4,SE CON MEN JAN/19,SE,2019-02-01,92,78,13
82,2018-10-01,7.0,174.5,3,SE CON MEN JAN/19,SE,2019-02-01,92,77,14
83,2018-10-02,33.0,167.4090909090909,3,SE CON MEN JAN/19,SE,2019-02-01,92,76,15
84,2018-10-03,52.8,167.9659090909091,3,SE CON MEN JAN/19,SE,2019-02-01,92,75,16
85,2018-10-04,15.0,164.66666666666666,3,SE CON MEN JAN/19,SE,2019-02-01,92,74,17
86,2018-10-05,15.0,170.0,3,SE CON MEN JAN/19,SE,2019-02-01,92,73,18
87,2018-10-08,13.0,168.73076923076923,3,SE CON MEN JAN/19,SE,2019-02-01,92,72,19
88,2018-10-09,39.1,165.91048593350382,3,SE CON MEN JAN/19,SE,2019-02-01,92,71,20
89,2018-10-10,53.0,162.54754716981134,3,SE CON MEN JAN/19,SE,2019-02-01,92,70,21
90,2018-10-11,42.5,157.81176470588235,3,SE CON MEN JAN/19,SE,2019-02-01,92,69,22
91,2018-10-15,76.4,151.98795811518323,3,SE CON MEN JAN/19,SE,2019-02-01,92,68,23
92,2018-10-16,67.2,145.22842261904762,3,SE CON MEN JAN/19,SE,2019-02-01,92,67,24
93,2018-10-17,51.8,141.3430501930502,3,SE CON MEN JAN/19,SE,2019-02-01,92,66,25
94,2018-10-18,17.5,142.83142857142855,3,SE CON MEN JAN/19,SE,2019-02-01,92,65,26
95,2018-10-19,66.5,139.17406015037596,3,SE CON MEN JAN/19,SE,2019-02-01,92,64,27
96,2018-10-22,72.2,126.39473684210527,3,SE CON MEN JAN/19,SE,2019-02-01,92,63,28
97,2018-10-23,48.0,126.21770833333332,3,SE CON MEN JAN/19,SE,2019-02-01,92,62,29
98,2018-10-24,69.3,128.89776334776337,3,SE CON MEN JAN/19,SE,2019-02-01,92,61,30
99,2018-10-25,22.0,129.0909090909091,3,SE CON MEN JAN/19,SE,2019-02-01,92,60,31
100,2018-10-26,1.0,133.0,3,SE CON MEN JAN/19,SE,2019-02-01,92,59,32
101,2018-10-29,1.0,145.0,3,SE CON MEN JAN/19,SE,2019-02-01,92,58,33
102,2018-10-30,85.0,142.99411764705883,3,SE CON MEN JAN/19,SE,2019-02-01,92,57,34
103,2018-10-31,89.5,136.31402234636872,3,SE CON MEN JAN/19,SE,2019-02-01,92,56,35
104,2018-11-01,82.0,127.65243902439023,2,SE CON MEN JAN/19,SE,2019-02-01,92,55,36
105,2018-11-05,19.5,125.28205128205128,2,SE CON MEN JAN/19,SE,2019-02-01,92,54,37
106,2018-11-06,89.0,124.81516853932584,2,SE CON MEN JAN/19,SE,2019-02-01,92,53,38
107,2018-11-07,282.2,120.5204642097803,2,SE CON MEN JAN/19,SE,2019-02-01,92,52,39
108,2018-11-08,345.1,113.06229498696028,2,SE CON MEN JAN/19,SE,2019-02-01,92,51,40
109,2018-11-09,203.9,103.31593918587542,2,SE CON MEN JAN/19,SE,2019-02-01,92,50,41
110,2018-11-12,139.7,99.3886900501074,2,SE CON MEN JAN/19,SE,2019-02-01,92,49,42
111,2018-11-13,127.0,94.9224409448819,2,SE CON MEN JAN/19,SE,2019-02-01,92,48,43
112,2018-11-14,237.5,93.59625263157896,2,SE CON MEN JAN/19,SE,2019-02-01,92,47,44
113,2018-11-16,9.0,96.11111111111111,2,SE CON MEN JAN/19,SE,2019-02-01,92,46,45
114,2018-11-19,34.4,95.36075581395347,2,SE CON MEN JAN/19,SE,2019-02-01,92,45,46
115,2018-11-20,5.0,98.0,2,SE CON MEN JAN/19,SE,2019-02-01,92,44,47
116,2018-11-21,75.0,95.72666666666667,2,SE CON MEN JAN/19,SE,2019-02-01,92,43,48
117,2018-11-22,35.9,94.64902506963789,2,SE CON MEN JAN/19,SE,2019-02-01,92,42,49
118,2018-11-23,37.0,89.16216216216216,2,SE CON MEN JAN/19,SE,2019-02-01,92,41,50
119,2018-11-26,126.0,81.04126984126985,2,SE CON MEN JAN/19,SE,2019-02-01,92,40,51
120,2018-11-27,88.0,78.69170454545454,2,SE CON MEN JAN/19,SE,2019-02-01,92,39,52
121,2018-11-28,46.7,81.86509635974303,2,SE CON MEN JAN/19,SE,2019-02-01,92,38,53
122,2018-11-29,104.0,84.87076923076924,2,SE CON MEN JAN/19,SE,2019-02-01,92,37,54
