dt,type_sma,price_sma,portfolio_value_sma,dt_sma,type_ema,price_ema,portfolio_value_ema,dt_ema,type_bbands,price_bbands,portfolio_value_bbands,dt_bbands
2017-05-13,buy,296.6666666666667,100000.0,2017-05-13,,,,,,,,
2017-05-24,sell,244.69230769230768,82536.61538461538,2017-05-24,,,,,,,,
2017-08-22,buy,204.05464961067847,84232.41320224361,2017-08-22,,,,,,,,
2017-09-28,sell,229.5185869094061,92824.04605330134,2017-09-28,,,,,,,,
2017-09-30,buy,245.0972003353596,91925.66421530524,2017-09-30,,,,,,,,
2017-10-02,sell,239.97430830039525,90887.5928640848,2017-10-02,,,,,,,,
2017-10-03,buy,254.66955684007704,93451.42406597766,2017-10-03,,,,,,,,
2017-10-24,sell,265.1154929577465,94606.34612197512,2017-10-24,,,,,,,,
2017-10-27,buy,272.3765586034912,97259.81592075696,2017-10-27,,,,,,,,
2018-03-24,sell,245.41129032258067,85276.36329678008,2018-03-24,,,,,,,,
2018-04-23,buy,201.21468880420977,86159.37820702762,2018-04-23,,,,,,,,
2018-07-08,sell,354.8903667887498,150281.1750842405,2018-07-08,,,,,,,,
2018-07-12,buy,364.2440820075294,150516.51986198672,2018-07-12,,,,,,,,
2018-08-08,sell,374.1829464312412,154375.98722680972,2018-08-08,,,,,,,,
2018-08-10,buy,378.57146575346985,154801.22028230544,2018-08-10,,,,,,,,
2018-08-17,sell,376.2278145817439,153422.12119991728,2018-08-17,,,,,,,,
2018-12-04,buy,112.09147265043114,162366.47614336715,2018-12-04,,,,,,,,
2019-02-16,sell,310.61565030010445,424804.6720470208,2019-02-16,,,,,,,,
2019-02-18,buy,323.63899613899616,416808.11313342734,2019-02-18,,,,,,,,
2019-02-19,sell,317.5394088669951,416808.11313342734,2019-02-19,,,,,,,,
2019-02-20,buy,322.79133038380155,414855.91822163074,2019-02-20,,,,,,,,
2019-02-22,sell,313.1425364758698,404370.8177861033,2019-02-22,,,,,,,,
2019-03-23,buy,262.6080144070976,407197.269774603,2019-03-23,,,,,,,,
2019-04-16,sell,261.3615821586166,402453.80498793954,2019-04-16,,,,,,,,
2019-06-04,buy,229.4784862629896,416233.9516901414,2019-06-04,,,,,,,,
2019-06-19,sell,217.0407814562008,380662.9461664456,2019-06-19,,,,,,,,
2019-07-27,buy,195.63462110380297,383125.7543812906,2019-07-27,,,,,,,,
2019-08-10,sell,196.715167342696,382762.44750861474,2019-08-10,,,,,,,,
2019-09-12,buy,180.330848114358,376073.8914959956,2019-09-12,,,,,,,,
2019-09-13,sell,177.17586886312256,376073.8914959956,2019-09-13,,,,,,,,
2019-09-26,buy,169.45498019776926,378173.566192531,2019-09-26,,,,,,,,
