data,01_sudeste,02_sul,03_nordeste,04_norte,05_itaipu,06_madeira,07_teles-pires,08_belo-monte,09_manaus-amapa,09_manaus-amapa10_parana,10_parana,11_iguacu,12_paranapanema
2000-01-01,10044.33083,1194.230657,10846.5737,12643.4204,2632.960344,5921.1163,2887.23144,3627.002785,314.12916,,21914.98157,1783.085726,1430.955
2000-01-02,11557.15525,1352.613106,10714.7133,13103.7458,2577.016835,6006.3807,2985.828537,4192.975053,318.324708,,24658.79829,1946.875302,1501.9635
2000-01-03,14686.0141,1845.774728,11468.4981,13454.3706,2959.666772,6035.0385,3050.871857,4672.87882,384.714617,,28819.29984,2071.590438,1343.486933
2000-01-04,18889.01292,2102.657882,11165.95,13676.2156,5450.944999,5995.0342,3083.396121,4846.663588,408.095257,,33454.50643,2190.341136,1600.084733
2000-01-05,17792.9395,1810.485452,11902.2473,13895.1742,3270.323329,5941.3956,3207.683642,5022.127355,376.919389,,42171.49617,2301.600964,1729.710633
2000-01-06,16332.26818,1610.672288,12542.5283,14163.847,3242.669651,6074.4138,3310.61096,5233.104945,372.699389,,47416.09341,2367.819152,1872.7986
2000-01-07,14787.91441,1556.570701,13282.3933,14350.2014,3096.822066,6342.004,3421.913057,5375.241113,427.192892,,50656.97412,2318.96307,1968.9426
2000-01-08,14098.40539,1507.177574,13880.6036,14645.0822,3190.198773,6544.0137,3516.919015,5555.30108,457.533939,,53489.01897,2218.547248,2096.477733
2000-01-09,12777.64439,1527.782975,14218.9013,15061.941,3435.68983,6535.3176,3566.766828,5962.904148,524.454988,,54780.62799,2179.88143,2177.520133
2000-01-10,12007.36442,1558.217961,14545.1114,15309.8648,3558.304364,6428.5229,3642.970856,6296.467838,667.96404,,54992.72437,2344.918856,2198.5923
2000-01-11,11323.99682,1746.392462,14684.2105,15437.035,3204.988889,6346.8723,3742.299407,6639.766105,797.799274,,54503.51537,2792.499454,2234.1726
2000-01-12,10898.99282,2144.060181,14590.8912,15537.4674,2787.205874,6356.8161,3896.025374,7055.872295,803.362954,,52883.84915,3448.045008,2252.178867
2000-01-13,10457.97734,2344.51189,14589.7805,15616.5964,2698.165282,6385.725,4047.110615,7457.25954,752.257084,,50257.7252,3812.850242,2224.469067
2000-01-14,9737.35297,2292.658805,14988.3648,15641.948,2829.380934,6313.5617,4157.076768,7621.64563,718.264763,,47282.06401,3780.48147,2209.934933
2000-01-15,9287.49062,3060.32563,15171.3124,15560.5996,2898.160857,6227.494,4210.592141,8079.240098,705.186399,,44311.03075,3718.038718,2198.500867
2000-01-16,8645.097097,3220.88793,15170.3043,15381.9302,2819.342582,6251.8231,4226.591496,8489.114563,697.882395,,41430.73006,3910.047104,2182.4659
2000-01-17,8315.281635,3590.964291,15588.7493,15165.5702,2691.380254,6384.8607,4193.698606,8904.53325,709.110441,,39011.92843,3920.058944,2151.277367
2000-01-18,7872.217104,3821.727898,15810.2313,14865.5534,2612.756615,6534.4223,4140.687866,9276.190115,787.875309,,36898.53778,3640.851736,2106.8621
2000-01-19,7672.954772,3771.419178,15486.6563,14513.5832,2608.101997,6599.9473,4066.904054,9561.845003,804.600446,,35084.55631,3325.591316,2056.461633
