Data,M+0,M+1,M+2,M+3,M+4,M+5,M+6,M+7,M+8,M+9,M+10,M+11,M+12,M+13,M+14,M+15,M+16,M+17,M+18,M+19,M+20,M+21,M+22,M+23,M+24,M+25,M+26,M+27,M+28,M+29,M+30,M+31,M+32,M+33,M+34,M+35,M+36,M+37,M+38,M+39,M+40,M+41,M+42,M+43,M+44,M+45,M+46,M+47,M+48,M+49
2014-01-02,0.71,0.64,0.5,0.53,0.43,0.3,0.31,0.31,0.4,0.5,0.56,0.6,0.7,0.64,0.51,0.6,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
2014-01-03,0.73,0.63,0.5,0.54,0.43,0.3,0.32,0.33,0.4,0.5,0.56,0.6,0.7,0.62,0.5,0.59,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
2014-01-06,0.72,0.63,0.49,0.53,0.42,0.29,0.32,0.33,0.4,0.5,0.56,0.6,0.69,0.6,0.5,0.54,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
2014-01-07,0.72,0.63,0.49,0.52,0.42,0.29,0.37,0.34,0.4,0.5,0.56,0.6,0.67,0.6,0.48,0.55,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2014-01-08,0.71,0.63,0.49,0.51,0.43,0.28,0.37,0.34,0.41,0.5,0.55,0.6,0.68,0.6,0.5,0.55,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
2014-01-09,0.72,0.63,0.48,0.52,0.44,0.29,0.37,0.31,0.41,0.5,0.56,0.61,0.7,0.6,0.48,0.55,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2014-01-10,0.73,0.64,0.48,0.52,0.45,0.3,0.36,0.31,0.41,0.5,0.55,0.6,0.67,0.6,0.5,0.55,0.43,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2014-01-13,0.75,0.65,0.49,0.51,0.45,0.3,0.35,0.31,0.41,0.49,0.55,0.64,0.7,0.6,0.46,0.5,0.41,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2014-01-14,0.75,0.64,0.5,0.52,0.45,0.31,0.31,0.3,0.4,0.5,0.56,0.62,0.72,0.61,0.46,0.5,0.44,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2014-01-15,0.75,0.65,0.5,0.54,0.44,0.3,0.33,0.3,0.4,0.49,0.55,0.62,0.73,0.6,0.48,0.52,0.41,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
