id_subsistema,idhistorico_carga,subsistema,data,valor
4,192943.0,Norte,01/01/2000,2243.51
1,192944.0,Sudeste,01/01/2000,19046.0
5,192945.0,SIN,01/01/2000,30736.53
3,192946.0,Nordeste,01/01/2000,4646.37
2,192947.0,Sul,01/01/2000,4800.65
4,192948.0,Norte,02/01/2000,2259.81
3,192949.0,Nordeste,02/01/2000,4895.72
2,192950.0,Sul,02/01/2000,4899.8
1,192951.0,Sudeste,02/01/2000,19398.03
5,192952.0,SIN,02/01/2000,31453.36
1,192953.0,Sudeste,03/01/2000,23061.75
5,192954.0,SIN,03/01/2000,37466.740000000005
3,192955.0,Nordeste,03/01/2000,5736.01
2,192956.0,Sul,03/01/2000,6261.55
4,192957.0,Norte,03/01/2000,2407.43
4,192958.0,Norte,04/01/2000,2404.22
3,192959.0,Nordeste,04/01/2000,5783.77
2,192960.0,Sul,04/01/2000,6733.74
1,192961.0,Sudeste,04/01/2000,24228.24
5,192962.0,SIN,04/01/2000,39149.97
5,192963.0,SIN,05/01/2000,39961.88
4,192964.0,Norte,05/01/2000,2439.65
3,192965.0,Nordeste,05/01/2000,5753.12
2,192966.0,Sul,05/01/2000,6961.17
1,192967.0,Sudeste,05/01/2000,24807.94
5,192968.0,SIN,06/01/2000,40674.630000000005
4,192969.0,Norte,06/01/2000,2426.68
3,192970.0,Nordeste,06/01/2000,5802.94
1,192971.0,Sudeste,06/01/2000,25334.65
2,192972.0,Sul,06/01/2000,7110.36
5,192973.0,SIN,07/01/2000,40604.99
4,192974.0,Norte,07/01/2000,2430.91
1,192975.0,Sudeste,07/01/2000,25410.19
3,192976.0,Nordeste,07/01/2000,5658.54
2,192977.0,Sul,07/01/2000,7105.35
4,192978.0,Norte,08/01/2000,2286.35
5,192979.0,SIN,08/01/2000,36854.4
1,192980.0,Sudeste,08/01/2000,22866.18
2,192981.0,Sul,08/01/2000,6307.49
3,192982.0,Nordeste,08/01/2000,5394.38
2,192983.0,Sul,09/01/2000,5523.62
3,192984.0,Nordeste,09/01/2000,4931.13
4,192985.0,Norte,09/01/2000,2242.67
1,192986.0,Sudeste,09/01/2000,20849.19
5,192987.0,SIN,09/01/2000,33546.61
1,192988.0,Sudeste,10/01/2000,25441.55
2,192989.0,Sul,10/01/2000,7111.32
3,192990.0,Nordeste,10/01/2000,5643.17
4,192991.0,Norte,10/01/2000,2417.6
5,192992.0,SIN,10/01/2000,40613.64
5,192993.0,SIN,11/01/2000,41951.8
1,192994.0,Sudeste,11/01/2000,26375.79
2,192995.0,Sul,11/01/2000,7435.06
3,192996.0,Nordeste,11/01/2000,5724.18
4,192997.0,Norte,11/01/2000,2416.77
5,192998.0,SIN,12/01/2000,42261.78
1,192999.0,Sudeste,12/01/2000,26604.4
3,193000.0,Nordeste,12/01/2000,5813.53
4,193001.0,Norte,12/01/2000,2418.36
2,193002.0,Sul,12/01/2000,7425.49
5,193003.0,SIN,13/01/2000,42554.43
2,193004.0,Sul,13/01/2000,7505.58
3,193005.0,Nordeste,13/01/2000,5888.76
4,193006.0,Norte,13/01/2000,2428.52
1,193007.0,Sudeste,13/01/2000,26731.57
5,193008.0,SIN,14/01/2000,42929.409999999996
1,193009.0,Sudeste,14/01/2000,27027.01
4,193010.0,Norte,14/01/2000,2440.2
3,193011.0,Nordeste,14/01/2000,5929.92
2,193012.0,Sul,14/01/2000,7532.28
1,193013.0,Sudeste,15/01/2000,24565.8
5,193014.0,SIN,15/01/2000,38858.8
4,193015.0,Norte,15/01/2000,2352.91
2,193016.0,Sul,15/01/2000,6435.91
3,193017.0,Nordeste,15/01/2000,5504.18
5,193018.0,SIN,16/01/2000,34938.270000000004
1,193019.0,Sudeste,16/01/2000,21929.8
2,193020.0,Sul,16/01/2000,5621.18
3,193021.0,Nordeste,16/01/2000,5123.45
4,193022.0,Norte,16/01/2000,2263.84
5,193023.0,SIN,17/01/2000,42075.759999999995
1,193024.0,Sudeste,17/01/2000,26523.67
4,193025.0,Norte,17/01/2000,2433.98
3,193026.0,Nordeste,17/01/2000,5883.14
2,193027.0,Sul,17/01/2000,7234.97
5,193028.0,SIN,18/01/2000,43257.95
1,193029.0,Sudeste,18/01/2000,27212.56
2,193030.0,Sul,18/01/2000,7517.37
3,193031.0,Nordeste,18/01/2000,6048.15
4,193032.0,Norte,18/01/2000,2479.87
5,193033.0,SIN,19/01/2000,43025.31
3,193034.0,Nordeste,19/01/2000,6028.57
4,193035.0,Norte,19/01/2000,2439.24
2,193036.0,Sul,19/01/2000,7391.8
1,193037.0,Sudeste,19/01/2000,27165.7
2,193038.0,Sul,20/01/2000,7365.11
4,193039.0,Norte,20/01/2000,2494.58
3,193040.0,Nordeste,20/01/2000,6063.45
1,193041.0,Sudeste,20/01/2000,25289.26
5,193042.0,SIN,20/01/2000,41212.399999999994
5,193043.0,SIN,21/01/2000,41772.729999999996
1,193044.0,Sudeste,21/01/2000,25977.04
3,193045.0,Nordeste,21/01/2000,5949.44
4,193046.0,Norte,21/01/2000,2459.77
2,193047.0,Sul,21/01/2000,7386.48
4,193048.0,Norte,22/01/2000,2393.11
3,193049.0,Nordeste,22/01/2000,5586.17
2,193050.0,Sul,22/01/2000,6688.72
1,193051.0,Sudeste,22/01/2000,23572.44
