,data,produto,submercado,expiracao,volume,VWAP,M,H,h,h_cresc,missing,ok
0,2016-08-05,SE CON MEN NOV/16,SE,2016-12-01,1.0,199.3548387096774,3.0,24.0,23.0,0.0,,11
1,2016-08-06,,,,,,,,,,10.75,
2,2016-08-07,,,,,,,,,,10.75,
3,2016-08-08,,,,,,,,,,10.75,
4,2016-08-09,,,,,,,,,,10.75,
5,2016-08-10,,,,,,,,,,10.75,
6,2016-08-11,,,,,,,,,,10.75,
7,2016-08-12,,,,,,,,,,10.75,
8,2016-08-13,,,,,,,,,,10.75,
9,2016-08-14,,,,,,,,,,10.75,
10,2016-08-15,,,,,,,,,,10.75,
11,2016-08-16,,,,,,,,,,10.75,
12,2016-08-17,,,,,,,,,,10.75,
13,2016-08-18,,,,,,,,,,10.75,
14,2016-08-19,,,,,,,,,,10.75,
15,2016-08-20,,,,,,,,,,10.75,
16,2016-08-21,,,,,,,,,,10.75,
17,2016-08-22,,,,,,,,,,10.75,
18,2016-08-23,,,,,,,,,,10.75,
19,2016-08-24,,,,,,,,,,10.75,
20,2016-08-25,,,,,,,,,,10.75,
21,2016-08-26,,,,,,,,,,10.75,
22,2016-08-27,,,,,,,,,,10.75,
23,2016-08-28,,,,,,,,,,10.75,
24,2016-08-29,,,,,,,,,,10.75,
25,2016-08-30,,,,,,,,,,10.75,
26,2016-08-31,,,,,,,,,,10.75,
27,2016-09-01,,,,,,,,,,10.75,
28,2016-09-02,,,,,,,,,,10.75,
29,2016-09-03,,,,,,,,,,10.75,
30,2016-09-04,,,,,,,,,,10.75,
31,2016-09-05,,,,,,,,,,10.75,
32,2016-09-06,,,,,,,,,,10.75,
33,2016-09-07,,,,,,,,,,10.75,
34,2016-09-08,,,,,,,,,,10.75,
35,2016-09-09,,,,,,,,,,10.75,
36,2016-09-10,,,,,,,,,,10.75,
37,2016-09-11,,,,,,,,,,10.75,
38,2016-09-12,,,,,,,,,,10.75,
39,2016-09-13,,,,,,,,,,10.75,
40,2016-09-14,,,,,,,,,,10.75,
41,2016-09-15,,,,,,,,,,10.75,
42,2016-09-16,,,,,,,,,,10.75,
43,2016-09-17,,,,,,,,,,10.75,
44,2016-09-18,,,,,,,,,,10.75,
45,2016-09-19,,,,,,,,,,10.75,
46,2016-09-20,,,,,,,,,,10.75,
47,2016-09-21,,,,,,,,,,10.75,
48,2016-09-22,,,,,,,,,,10.75,
49,2016-09-23,,,,,,,,,,10.75,
50,2016-09-24,,,,,,,,,,10.75,
51,2016-09-25,,,,,,,,,,10.75,
52,2016-09-26,,,,,,,,,,10.75,
53,2016-09-27,,,,,,,,,,10.75,
54,2016-09-28,,,,,,,,,,10.75,
55,2016-09-29,,,,,,,,,,10.75,
56,2016-09-30,,,,,,,,,,10.75,
57,2016-10-01,,,,,,,,,,10.75,
58,2016-10-02,,,,,,,,,,10.75,
59,2016-10-03,,,,,,,,,,10.75,
60,2016-10-04,,,,,,,,,,10.75,
61,2016-10-05,,,,,,,,,,10.75,
62,2016-10-06,,,,,,,,,,10.75,
63,2016-10-07,,,,,,,,,,10.75,
64,2016-10-08,,,,,,,,,,10.75,
65,2016-10-09,,,,,,,,,,10.75,
66,2016-10-10,,,,,,,,,,10.75,
67,2016-10-11,,,,,,,,,,10.75,
68,2016-10-12,,,,,,,,,,10.75,
69,2016-10-13,,,,,,,,,,10.75,
70,2016-10-14,,,,,,,,,,10.75,
71,2016-10-15,,,,,,,,,,10.75,
72,2016-10-16,,,,,,,,,,10.75,
73,2016-10-17,,,,,,,,,,10.75,
74,2016-10-18,,,,,,,,,,10.75,
75,2016-10-19,,,,,,,,,,10.75,
76,2016-10-20,,,,,,,,,,10.75,
77,2016-10-21,,,,,,,,,,10.75,
78,2016-10-22,,,,,,,,,,10.75,
79,2016-10-23,,,,,,,,,,10.75,
80,2016-10-24,,,,,,,,,,10.75,
81,2016-10-25,,,,,,,,,,10.75,
82,2016-10-26,,,,,,,,,,10.75,
