id_subsistema,idhistorico_carga,subsistema,data,valor
5,205718.0,SIN,30/12/2006,44049.44
1,205719.0,Sudeste,30/12/2006,26654.82
4,205720.0,Norte,30/12/2006,3345.12
3,205721.0,Nordeste,30/12/2006,6984.51
2,205722.0,Sul,30/12/2006,7064.99
2,205723.0,Sul,31/12/2006,6302.26
5,205724.0,SIN,31/12/2006,40571.14
1,205725.0,Sudeste,31/12/2006,24552.74
4,205726.0,Norte,31/12/2006,3234.38
3,205727.0,Nordeste,31/12/2006,6481.76
4,205728.0,Norte,01/01/2007,3165.15
3,205729.0,Nordeste,01/01/2007,6016.22
2,205730.0,Sul,01/01/2007,5819.78
1,205731.0,Sudeste,01/01/2007,22286.73
5,205732.0,SIN,01/01/2007,37287.88
1,205733.0,Sudeste,02/01/2007,27560.01
5,205734.0,SIN,02/01/2007,45852.88
3,205735.0,Nordeste,02/01/2007,7049.25
2,205736.0,Sul,02/01/2007,7882.44
4,205737.0,Norte,02/01/2007,3361.18
2,205738.0,Sul,03/01/2007,8462.37
1,205739.0,Sudeste,03/01/2007,29170.56
3,205740.0,Nordeste,03/01/2007,7362.22
5,205741.0,SIN,03/01/2007,48414.94
4,205742.0,Norte,03/01/2007,3419.79
4,205743.0,Norte,04/01/2007,3432.6
3,205744.0,Nordeste,04/01/2007,7430.22
2,205745.0,Sul,04/01/2007,8462.27
1,205746.0,Sudeste,04/01/2007,29690.06
5,205747.0,SIN,04/01/2007,49015.15
5,205748.0,SIN,05/01/2007,49446.48
1,205749.0,Sudeste,05/01/2007,30125.18
4,205750.0,Norte,05/01/2007,3434.9
2,205751.0,Sul,05/01/2007,8433.36
3,205752.0,Nordeste,05/01/2007,7453.04
3,205753.0,Nordeste,06/01/2007,7128.52
4,205754.0,Norte,06/01/2007,3305.84
5,205755.0,SIN,06/01/2007,46000.73
1,205756.0,Sudeste,06/01/2007,28080.45
2,205757.0,Sul,06/01/2007,7485.92
2,205758.0,Sul,07/01/2007,6337.55
3,205759.0,Nordeste,07/01/2007,6607.68
4,205760.0,Norte,07/01/2007,3232.09
5,205761.0,SIN,07/01/2007,41936.619999999995
1,205762.0,Sudeste,07/01/2007,25759.3
4,205763.0,Norte,08/01/2007,3438.0
3,205764.0,Nordeste,08/01/2007,7478.95
1,205765.0,Sudeste,08/01/2007,30635.91
5,205766.0,SIN,08/01/2007,49702.06
2,205767.0,Sul,08/01/2007,8149.2
3,205768.0,Nordeste,09/01/2007,7636.1
2,205769.0,Sul,09/01/2007,8692.86
5,205770.0,SIN,09/01/2007,51114.53
4,205771.0,Norte,09/01/2007,3433.86
1,205772.0,Sudeste,09/01/2007,31351.71
5,205773.0,SIN,10/01/2007,51494.36
3,205774.0,Nordeste,10/01/2007,7624.07
4,205775.0,Norte,10/01/2007,3403.63
2,205776.0,Sul,10/01/2007,9178.38
1,205777.0,Sudeste,10/01/2007,31288.28
1,205778.0,Sudeste,11/01/2007,31600.64
4,205779.0,Norte,11/01/2007,3457.63
3,205780.0,Nordeste,11/01/2007,7638.82
2,205781.0,Sul,11/01/2007,9222.82
5,205782.0,SIN,11/01/2007,51919.91
4,205783.0,Norte,12/01/2007,3458.96
1,205784.0,Sudeste,12/01/2007,32360.3
5,205785.0,SIN,12/01/2007,52559.67
2,205786.0,Sul,12/01/2007,9111.2
3,205787.0,Nordeste,12/01/2007,7629.21
5,205788.0,SIN,13/01/2007,47579.64
1,205789.0,Sudeste,13/01/2007,29146.1
2,205790.0,Sul,13/01/2007,7906.3
3,205791.0,Nordeste,13/01/2007,7190.57
4,205792.0,Norte,13/01/2007,3336.67
5,205793.0,SIN,14/01/2007,42139.96
1,205794.0,Sudeste,14/01/2007,25606.21
4,205795.0,Norte,14/01/2007,3234.3
3,205796.0,Nordeste,14/01/2007,6659.14
2,205797.0,Sul,14/01/2007,6640.31
5,205798.0,SIN,15/01/2007,49842.21
4,205799.0,Norte,15/01/2007,3492.71
3,205800.0,Nordeste,15/01/2007,7540.63
2,205801.0,Sul,15/01/2007,8489.49
1,205802.0,Sudeste,15/01/2007,30319.38
2,205803.0,Sul,16/01/2007,8730.6
5,205804.0,SIN,16/01/2007,50957.93
4,205805.0,Norte,16/01/2007,3527.8
3,205806.0,Nordeste,16/01/2007,7747.0
1,205807.0,Sudeste,16/01/2007,30952.53
5,205808.0,SIN,17/01/2007,51439.26
2,205809.0,Sul,17/01/2007,8942.95
1,205810.0,Sudeste,17/01/2007,31230.8
3,205811.0,Nordeste,17/01/2007,7704.75
4,205812.0,Norte,17/01/2007,3560.76
5,205813.0,SIN,18/01/2007,52362.270000000004
4,205814.0,Norte,18/01/2007,3556.0
3,205815.0,Nordeste,18/01/2007,7727.88
2,205816.0,Sul,18/01/2007,9059.23
1,205817.0,Sudeste,18/01/2007,32019.16
5,205818.0,SIN,19/01/2007,52969.39
4,205819.0,Norte,19/01/2007,3542.19
3,205820.0,Nordeste,19/01/2007,7747.07
2,205821.0,Sul,19/01/2007,9190.25
1,205822.0,Sudeste,19/01/2007,32489.88
4,205823.0,Norte,20/01/2007,3394.31
3,205824.0,Nordeste,20/01/2007,7415.69
2,205825.0,Sul,20/01/2007,7710.13
1,205826.0,Sudeste,20/01/2007,29842.11
5,205827.0,SIN,20/01/2007,48362.24
5,205828.0,SIN,21/01/2007,42966.81
2,205829.0,Sul,21/01/2007,6432.34
3,205830.0,Nordeste,21/01/2007,6825.64
4,205831.0,Norte,21/01/2007,3249.52
1,205832.0,Sudeste,21/01/2007,26459.31
4,205833.0,Norte,22/01/2007,3499.07
3,205834.0,Nordeste,22/01/2007,7643.84
2,205835.0,Sul,22/01/2007,8489.23
1,205836.0,Sudeste,22/01/2007,30814.17
5,205837.0,SIN,22/01/2007,50446.31
4,205838.0,Norte,23/01/2007,3520.9
3,205839.0,Nordeste,23/01/2007,7890.54
